Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,79400,1,1100,1.4,79500,79800,78700,4797281,380063908100,474000734470000,5969782550,STK
000660,KR7000660001,SK하이닉스,KOSPI,,199800,1,5900,3.04,198700,200500,198100,1422029,283249610300,145454872527000,728002365,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,330000,1,500,0.15,333000,334000,327000,40538,13385655000,77220000000000,234000000,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,916000,2,-14000,-1.51,931000,934000,915000,32421,29916114000,65195384000000,71174000,STK
005380,KR7005380001,현대차,KOSPI,,258000,1,3000,1.18,258000,261000,255000,328362,84671381000,54029377278000,209416191,STK
005935,KR7005931001,삼성전자우,KOSPI,,63700,1,300,0.47,64000,64300,63400,288263,18388020900,52417882790000,822886700,STK
068270,KR7068270008,셀트리온,KOSPI,,197600,3,0,0.0,198900,199600,197300,196917,39026441700,42883387144000,217021190,STK
000270,KR7000270009,기아,KOSPI,,103100,2,-100,-0.1,104100,104900,102600,358898,37148320300,41225402792700,399858417,STK
105560,KR7105560007,KB금융,KOSPI,,88800,1,1800,2.07,88300,90000,87500,548448,49006100100,35831783193600,403511072,STK
055550,KR7055550008,신한지주,KOSPI,,58100,1,900,1.57,57200,58700,57200,308227,17935165500,29595745733400,509393214,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,322000,2,-500,-0.16,324000,328000,321000,78633,25486438000,27231936060000,84571230,STK
028260,KR7028260008,삼성물산,KOSPI,,146200,1,2000,1.39,145700,147100,145500,38103,5569345900,25992036443400,177784107,STK
035420,KR7035420009,NAVER,KOSPI,,156700,1,100,0.06,157900,158900,156500,218133,34327734600,25194932403600,160784508,STK
006400,KR7006400006,삼성SDI,KOSPI,,307000,2,-2000,-0.65,312500,313500,305500,158679,49073160500,21110710710000,68764530,STK
012330,KR7012330007,현대모비스,KOSPI,,220000,2,-500,-0.23,222500,223500,220000,20633,4575425000,20458920680000,92995094,STK
051910,KR7051910008,LG화학,KOSPI,,285500,2,-4000,-1.38,292000,292500,283500,78915,22698071500,20154113926500,70592343,STK
032830,KR7032830002,삼성생명,KOSPI,,95400,1,1800,1.92,93100,95400,92600,120127,11321939000,19080000000000,200000000,STK
