종목코드,종목명,날짜,종가,전일비,시가,고가,저가,거래량
066570,LG전자,2021.12.08,123500.0,2000.0,127500.0,128000.0,122500.0,1039544.0
066570,LG전자,2021.12.07,125500.0,1500.0,124000.0,126000.0,121500.0,720765.0
066570,LG전자,2021.12.06,124000.0,2000.0,121500.0,125000.0,120500.0,819472.0
066570,LG전자,2021.12.03,122000.0,0.0,122000.0,123000.0,119000.0,780951.0
066570,LG전자,2021.12.02,122000.0,2000.0,118000.0,122000.0,118000.0,725845.0
066570,LG전자,2021.12.01,120000.0,4500.0,116500.0,120000.0,115500.0,851165.0
066570,LG전자,2021.11.30,115500.0,4000.0,120500.0,122000.0,115000.0,1809765.0
066570,LG전자,2021.11.29,119500.0,2500.0,118000.0,122000.0,118000.0,933062.0
066570,LG전자,2021.11.26,122000.0,3500.0,125500.0,126500.0,121500.0,872482.0
066570,LG전자,2021.11.25,125500.0,3000.0,128500.0,129000.0,125000.0,675145.0
066570,LG전자,2021.11.24,128500.0,500.0,127000.0,130000.0,126000.0,988988.0
066570,LG전자,2021.11.23,128000.0,6000.0,132500.0,133000.0,127000.0,1329955.0
066570,LG전자,2021.11.22,134000.0,500.0,133500.0,136000.0,131500.0,1670033.0
066570,LG전자,2021.11.19,133500.0,11000.0,128000.0,137500.0,127500.0,4928339.0
066570,LG전자,2021.11.18,122500.0,500.0,123500.0,124000.0,122000.0,480336.0
066570,LG전자,2021.11.17,123000.0,1000.0,124500.0,125000.0,122000.0,524897.0
066570,LG전자,2021.11.16,124000.0,500.0,124500.0,125500.0,123000.0,565313.0
066570,LG전자,2021.11.15,124500.0,2500.0,122500.0,125000.0,122500.0,521720.0
066570,LG전자,2021.11.12,122000.0,4500.0,118000.0,122000.0,118000.0,734937.0
066570,LG전자,2021.11.11,117500.0,2000.0,119000.0,119500.0,115500.0,1137785.0
066570,LG전자,2021.11.10,119500.0,3500.0,122000.0,123000.0,119000.0,707984.0
066570,LG전자,2021.11.09,123000.0,500.0,123000.0,125000.0,122000.0,497844.0
066570,LG전자,2021.11.08,122500.0,500.0,123000.0,123500.0,120500.0,478858.0
066570,LG전자,2021.11.05,123000.0,500.0,123500.0,124500.0,121500.0,470484.0
066570,LG전자,2021.11.04,122500.0,500.0,124000.0,126000.0,122000.0,769589.0
066570,LG전자,2021.11.03,122000.0,1000.0,123500.0,124000.0,121000.0,503633.0
066570,LG전자,2021.11.02,123000.0,2500.0,121000.0,124500.0,120500.0,915388.0
066570,LG전자,2021.11.01,120500.0,0.0,121000.0,122000.0,119500.0,761704.0
066570,LG전자,2021.10.29,120500.0,1500.0,124000.0,129000.0,119500.0,2301006.0
066570,LG전자,2021.10.28,122000.0,0.0,122000.0,124000.0,121000.0,842870.0
066570,LG전자,2021.10.27,122000.0,3500.0,125500.0,126000.0,121500.0,912547.0
066570,LG전자,2021.10.26,125500.0,1000.0,125000.0,126000.0,124500.0,706443.0
066570,LG전자,2021.10.25,124500.0,500.0,123500.0,126000.0,122500.0,554539.0
066570,LG전자,2021.10.22,125000.0,500.0,125000.0,126000.0,123000.0,360096.0
066570,LG전자,2021.10.21,125500.0,500.0,126000.0,127500.0,125000.0,571147.0
066570,LG전자,2021.10.20,125000.0,1500.0,126500.0,127500.0,125000.0,579159.0
066570,LG전자,2021.10.19,126500.0,3000.0,124500.0,127000.0,123500.0,600501.0
066570,LG전자,2021.10.18,123500.0,3000.0,127500.0,127500.0,123500.0,716291.0
066570,LG전자,2021.10.15,126500.0,3000.0,125000.0,127000.0,125000.0,743492.0
066570,LG전자,2021.10.14,123500.0,1500.0,123500.0,125500.0,122500.0,950533.0
066570,LG전자,2021.10.13,122000.0,2000.0,122500.0,123000.0,119500.0,943291.0
066570,LG전자,2021.10.12,124000.0,4000.0,121000.0,125500.0,119000.0,1793542.0
066570,LG전자,2021.10.08,120000.0,4000.0,125000.0,125500.0,119000.0,1407749.0
066570,LG전자,2021.10.07,124000.0,4000.0,121000.0,125000.0,120000.0,907601.0
066570,LG전자,2021.10.06,120000.0,3500.0,125500.0,126000.0,119000.0,1599552.0
066570,LG전자,2021.10.05,123500.0,2000.0,123000.0,125500.0,121000.0,1158497.0
066570,LG전자,2021.10.01,125500.0,2000.0,125500.0,127500.0,124500.0,1099392.0
066570,LG전자,2021.09.30,127500.0,2000.0,128500.0,129000.0,125000.0,1505941.0
066570,LG전자,2021.09.29,129500.0,3000.0,129000.0,131000.0,128000.0,1435656.0
066570,LG전자,2021.09.28,132500.0,6000.0,138000.0,138500.0,132500.0,1667863.0
066570,LG전자,2021.09.27,138500.0,1000.0,139000.0,139500.0,138000.0,526452.0
066570,LG전자,2021.09.24,139500.0,1000.0,142000.0,142500.0,139000.0,865310.0
066570,LG전자,2021.09.23,140500.0,1000.0,138500.0,141000.0,136500.0,1090853.0
066570,LG전자,2021.09.17,139500.0,1500.0,140500.0,141000.0,139000.0,799115.0
066570,LG전자,2021.09.16,141000.0,1000.0,142500.0,143500.0,140000.0,639525.0
066570,LG전자,2021.09.15,142000.0,500.0,143500.0,143500.0,140500.0,763228.0
066570,LG전자,2021.09.14,142500.0,500.0,143500.0,145000.0,142500.0,573492.0
066570,LG전자,2021.09.13,143000.0,3500.0,144000.0,144500.0,141500.0,808784.0
066570,LG전자,2021.09.10,146500.0,5000.0,143000.0,151000.0,143000.0,1851877.0
066570,LG전자,2021.09.09,141500.0,2500.0,144000.0,145500.0,141500.0,955728.0
066570,LG전자,2021.09.08,144000.0,3500.0,146500.0,147000.0,143000.0,1296091.0
066570,LG전자,2021.09.07,147500.0,500.0,149000.0,150500.0,147500.0,757429.0
066570,LG전자,2021.09.06,148000.0,5500.0,151000.0,151500.0,146500.0,1611682.0
066570,LG전자,2021.09.03,153500.0,14000.0,142000.0,154500.0,140500.0,4043334.0
066570,LG전자,2021.09.02,139500.0,1500.0,140500.0,141000.0,139000.0,667898.0
066570,LG전자,2021.09.01,141000.0,1000.0,143000.0,143000.0,140000.0,758432.0
066570,LG전자,2021.08.31,142000.0,2500.0,139500.0,142000.0,138000.0,1035617.0
066570,LG전자,2021.08.30,139500.0,1000.0,141500.0,142000.0,139000.0,740133.0
066570,LG전자,2021.08.27,140500.0,1000.0,141000.0,141000.0,139000.0,593281.0
066570,LG전자,2021.08.26,141500.0,500.0,142000.0,145000.0,140500.0,806681.0
066570,LG전자,2021.08.25,142000.0,0.0,142500.0,144500.0,139500.0,806947.0
066570,LG전자,2021.08.24,142000.0,1500.0,141000.0,144500.0,138500.0,1375732.0
066570,LG전자,2021.08.23,140500.0,6000.0,145500.0,146000.0,138000.0,1780072.0
066570,LG전자,2021.08.20,146500.0,1500.0,148500.0,150500.0,146000.0,802093.0
066570,LG전자,2021.08.19,148000.0,5500.0,151500.0,153000.0,148000.0,737444.0
066570,LG전자,2021.08.18,153500.0,2500.0,150500.0,154000.0,150000.0,652995.0
066570,LG전자,2021.08.17,151000.0,500.0,150500.0,153500.0,150000.0,779899.0
066570,LG전자,2021.08.13,150500.0,2500.0,153500.0,154000.0,148000.0,916837.0
066570,LG전자,2021.08.12,153000.0,3000.0,156000.0,157500.0,153000.0,981866.0
066570,LG전자,2021.08.11,156000.0,1500.0,157500.0,158500.0,155500.0,536980.0
066570,LG전자,2021.08.10,157500.0,3500.0,162000.0,162000.0,157000.0,859174.0
066570,LG전자,2021.08.09,161000.0,4000.0,157500.0,162000.0,157000.0,1152308.0
066570,LG전자,2021.08.06,157000.0,1000.0,158500.0,159000.0,156500.0,413308.0
066570,LG전자,2021.08.05,158000.0,2000.0,159500.0,160000.0,158000.0,560669.0
066570,LG전자,2021.08.04,160000.0,3500.0,158000.0,160500.0,157000.0,691765.0
066570,LG전자,2021.08.03,156500.0,0.0,157000.0,158000.0,155500.0,716492.0
066570,LG전자,2021.08.02,156500.0,1000.0,157500.0,158500.0,155000.0,809541.0
066570,LG전자,2021.07.30,157500.0,9000.0,165000.0,165500.0,157500.0,2178044.0
066570,LG전자,2021.07.29,166500.0,2500.0,165500.0,167000.0,164000.0,770794.0
066570,LG전자,2021.07.28,164000.0,1000.0,162500.0,165500.0,161000.0,676883.0
066570,LG전자,2021.07.27,163000.0,0.0,164500.0,164500.0,162000.0,428806.0
066570,LG전자,2021.07.26,163000.0,3500.0,167500.0,168000.0,163000.0,849316.0
066570,LG전자,2021.07.23,166500.0,2500.0,164500.0,167500.0,164000.0,1191816.0
066570,LG전자,2021.07.22,164000.0,1000.0,163500.0,164500.0,162000.0,806953.0
066570,LG전자,2021.07.21,163000.0,500.0,163000.0,164500.0,161500.0,829143.0
066570,LG전자,2021.07.20,162500.0,5000.0,156500.0,163500.0,156000.0,1343210.0
066570,LG전자,2021.07.19,157500.0,3000.0,159000.0,159000.0,157000.0,598680.0
066570,LG전자,2021.07.16,160500.0,500.0,159500.0,161500.0,159500.0,523298.0
066570,LG전자,2021.07.15,161000.0,0.0,161000.0,162000.0,159500.0,648066.0
066570,LG전자,2021.07.14,161000.0,2500.0,162000.0,162000.0,159000.0,689838.0
