종목코드,종목명,날짜,종가,전일비,시가,고가,저가,거래량
035420,NAVER,2022.05.11,277000.0,1000.0,273500.0,278500.0,273000.0,297622.0
035420,NAVER,2022.05.10,276000.0,1000.0,269000.0,277500.0,269000.0,732705.0
035420,NAVER,2022.05.09,275000.0,3000.0,269500.0,277000.0,269000.0,538607.0
035420,NAVER,2022.05.06,272000.0,10000.0,272500.0,275000.0,268000.0,787063.0
035420,NAVER,2022.05.04,282000.0,0.0,282000.0,287000.0,279500.0,394212.0
035420,NAVER,2022.05.03,282000.0,1000.0,280500.0,284000.0,280000.0,419535.0
035420,NAVER,2022.05.02,281000.0,5500.0,281000.0,282500.0,279000.0,509250.0
035420,NAVER,2022.04.29,286500.0,6000.0,282500.0,287500.0,281500.0,540274.0
035420,NAVER,2022.04.28,280500.0,0.0,286000.0,286000.0,278500.0,547958.0
035420,NAVER,2022.04.27,280500.0,6500.0,279500.0,282000.0,277000.0,875090.0
035420,NAVER,2022.04.26,287000.0,1500.0,288500.0,291500.0,285000.0,804555.0
035420,NAVER,2022.04.25,288500.0,11500.0,292500.0,295000.0,288000.0,823308.0
035420,NAVER,2022.04.22,300000.0,9500.0,302000.0,304000.0,299500.0,1166406.0
035420,NAVER,2022.04.21,309500.0,6000.0,310500.0,311000.0,306000.0,803990.0
035420,NAVER,2022.04.20,315500.0,3500.0,315500.0,317000.0,312000.0,496286.0
035420,NAVER,2022.04.19,312000.0,5500.0,308000.0,314000.0,307500.0,371024.0
035420,NAVER,2022.04.18,306500.0,2000.0,306000.0,308000.0,305000.0,209787.0
035420,NAVER,2022.04.15,308500.0,4500.0,309000.0,314000.0,305500.0,369642.0
035420,NAVER,2022.04.14,313000.0,2500.0,311500.0,315500.0,308500.0,459979.0
035420,NAVER,2022.04.13,310500.0,2000.0,306000.0,311500.0,304000.0,519629.0
035420,NAVER,2022.04.12,308500.0,4500.0,306000.0,311000.0,305000.0,467984.0
035420,NAVER,2022.04.11,313000.0,3500.0,311000.0,313000.0,308000.0,507362.0
035420,NAVER,2022.04.08,316500.0,4500.0,322000.0,324500.0,311500.0,626173.0
035420,NAVER,2022.04.07,321000.0,9000.0,323000.0,328500.0,321000.0,493204.0
035420,NAVER,2022.04.06,330000.0,12500.0,336500.0,338000.0,329000.0,647201.0
035420,NAVER,2022.04.05,342500.0,4500.0,340500.0,343000.0,338000.0,389951.0
035420,NAVER,2022.04.04,338000.0,2500.0,335500.0,339000.0,332000.0,283687.0
035420,NAVER,2022.04.01,335500.0,5000.0,340000.0,340500.0,335500.0,446987.0
035420,NAVER,2022.03.31,340500.0,1500.0,341500.0,342000.0,338500.0,427064.0
035420,NAVER,2022.03.30,339000.0,5000.0,342000.0,342000.0,337000.0,454373.0
035420,NAVER,2022.03.29,334000.0,2500.0,334500.0,338000.0,332000.0,323767.0
035420,NAVER,2022.03.28,331500.0,1500.0,329500.0,332500.0,324000.0,356589.0
035420,NAVER,2022.03.25,333000.0,7000.0,339500.0,340000.0,332500.0,559026.0
035420,NAVER,2022.03.24,340000.0,5500.0,339500.0,342000.0,335000.0,528012.0
035420,NAVER,2022.03.23,345500.0,6000.0,343000.0,347500.0,341500.0,504911.0
035420,NAVER,2022.03.22,339500.0,500.0,340000.0,341000.0,336000.0,301259.0
035420,NAVER,2022.03.21,339000.0,5500.0,347500.0,347500.0,336000.0,398441.0
035420,NAVER,2022.03.18,344500.0,0.0,345000.0,346500.0,341500.0,722326.0
035420,NAVER,2022.03.17,344500.0,14000.0,337500.0,348000.0,337500.0,1070200.0
035420,NAVER,2022.03.16,330500.0,3000.0,333500.0,334000.0,324000.0,584708.0
035420,NAVER,2022.03.15,327500.0,1500.0,328500.0,335000.0,326000.0,627012.0
035420,NAVER,2022.03.14,329000.0,0.0,328500.0,338000.0,325000.0,679812.0
035420,NAVER,2022.03.11,329000.0,1500.0,330000.0,332000.0,323000.0,737003.0
035420,NAVER,2022.03.10,330500.0,26000.0,319000.0,337000.0,316000.0,1521280.0
035420,NAVER,2022.03.08,304500.0,2500.0,302000.0,309500.0,301500.0,559921.0
035420,NAVER,2022.03.07,307000.0,10500.0,309000.0,309500.0,305000.0,535033.0
035420,NAVER,2022.03.04,317500.0,8000.0,325500.0,326000.0,317000.0,445607.0
035420,NAVER,2022.03.03,325500.0,8500.0,319000.0,327000.0,318500.0,580888.0
035420,NAVER,2022.03.02,317000.0,1000.0,319000.0,319500.0,312000.0,546099.0
035420,NAVER,2022.02.28,318000.0,3500.0,312000.0,318500.0,310500.0,542469.0
035420,NAVER,2022.02.25,314500.0,12000.0,308000.0,317500.0,305000.0,857872.0
035420,NAVER,2022.02.24,302500.0,6500.0,305000.0,306000.0,300000.0,666538.0
035420,NAVER,2022.02.23,309000.0,4000.0,316000.0,316500.0,308500.0,443348.0
035420,NAVER,2022.02.22,313000.0,5000.0,309500.0,313000.0,308000.0,484404.0
