종목코드,종목명,날짜,종가,전일비,시가,고가,저가,거래량
005490,POSCO,2024.08.14,329000.0,"상승  4,500",328500.0,333000.0,327500.0,109362.0
005490,POSCO,2024.08.13,324500.0,"하락  3,000",325500.0,327500.0,321000.0,207587.0
005490,POSCO,2024.08.12,327500.0,"상승  2,000",326000.0,330500.0,325500.0,180349.0
005490,POSCO,2024.08.09,325500.0,"상승  6,500",324500.0,330000.0,322000.0,265462.0
005490,POSCO,2024.08.08,319000.0,"하락  7,000",321000.0,326500.0,317000.0,405637.0
005490,POSCO,2024.08.07,326000.0,"하락  4,500",325500.0,333000.0,325500.0,318489.0
005490,POSCO,2024.08.06,330500.0,"상승  16,000",319500.0,338500.0,319500.0,633721.0
005490,POSCO,2024.08.05,314500.0,"하락  42,000",351000.0,351000.0,309000.0,856397.0
005490,POSCO,2024.08.02,356500.0,"하락  6,000",355500.0,360000.0,353000.0,285311.0
005490,POSCO,2024.08.01,362500.0,"상승  11,000",354000.0,363500.0,351000.0,277595.0
005490,POSCO,2024.07.31,351500.0,"하락  8,000",359500.0,361500.0,350000.0,364540.0
005490,POSCO,2024.07.30,359500.0,"하락  3,500",359500.0,366500.0,358500.0,280871.0
005490,POSCO,2024.07.29,363000.0,"상승  6,500",358000.0,366500.0,353000.0,355548.0
005490,POSCO,2024.07.26,356500.0,"상승  1,000",359000.0,361000.0,351500.0,346106.0
005490,POSCO,2024.07.25,355500.0,"상승  9,000",341000.0,361000.0,338000.0,580473.0
005490,POSCO,2024.07.24,346500.0,"하락  8,500",352000.0,358000.0,345000.0,447310.0
005490,POSCO,2024.07.23,355000.0,"하락  7,000",363000.0,365000.0,355000.0,368787.0
005490,POSCO,2024.07.22,362000.0,"하락  8,500",370500.0,371000.0,360500.0,306869.0
005490,POSCO,2024.07.19,370500.0,"상승  4,000",365000.0,371000.0,364000.0,273334.0
005490,POSCO,2024.07.18,366500.0,"상승  1,000",364000.0,370000.0,362000.0,310335.0
005490,POSCO,2024.07.17,365500.0,"하락  7,500",376000.0,376500.0,365500.0,395513.0
005490,POSCO,2024.07.16,373000.0,"하락  13,000",384000.0,387000.0,372000.0,532450.0
005490,POSCO,2024.07.15,386000.0,"하락  6,000",396500.0,397000.0,386000.0,502159.0
005490,POSCO,2024.07.12,392000.0,상승  500,388500.0,396500.0,383000.0,795560.0
005490,POSCO,2024.07.11,391500.0,"상승  23,000",371000.0,391500.0,369500.0,972715.0
005490,POSCO,2024.07.10,368500.0,"하락  4,500",370500.0,373000.0,368500.0,248513.0
005490,POSCO,2024.07.09,373000.0,"하락  4,500",378500.0,379500.0,372500.0,259202.0
005490,POSCO,2024.07.08,377500.0,상승  500,376000.0,381500.0,374000.0,313678.0
005490,POSCO,2024.07.05,377000.0,"상승  2,000",375000.0,379000.0,372000.0,298202.0
005490,POSCO,2024.07.04,375000.0,"상승  4,500",373500.0,375500.0,369500.0,249770.0
005490,POSCO,2024.07.03,370500.0,"상승  5,000",369500.0,377500.0,369000.0,334736.0
005490,POSCO,2024.07.02,365500.0,"하락  5,000",370000.0,372500.0,364500.0,245634.0
005490,POSCO,2024.07.01,370500.0,"상승  7,500",361500.0,371000.0,360000.0,291832.0
005490,POSCO,2024.06.28,363000.0,"상승  3,500",358500.0,365000.0,355000.0,271140.0
005490,POSCO,2024.06.27,359500.0,"하락  4,500",363500.0,365500.0,358500.0,340304.0
005490,POSCO,2024.06.26,364000.0,"하락  2,500",365500.0,366000.0,361000.0,349689.0
005490,POSCO,2024.06.25,366500.0,상승  500,367500.0,369000.0,364000.0,272745.0
005490,POSCO,2024.06.24,366000.0,하락  500,366500.0,370500.0,365000.0,304587.0
005490,POSCO,2024.06.21,366500.0,"하락  4,500",369500.0,373000.0,366500.0,326765.0
005490,POSCO,2024.06.20,371000.0,"하락  2,000",372000.0,373500.0,370000.0,216115.0
005490,POSCO,2024.06.19,373000.0,"상승  5,000",367500.0,374500.0,365500.0,462848.0
005490,POSCO,2024.06.18,368000.0,"하락  3,000",373500.0,375500.0,368000.0,314133.0
005490,POSCO,2024.06.17,371000.0,"하락  9,000",376000.0,376500.0,370500.0,389824.0
005490,POSCO,2024.06.14,380000.0,"상승  5,000",375500.0,381500.0,370500.0,515401.0
005490,POSCO,2024.06.13,375000.0,"하락  2,000",381000.0,382500.0,375000.0,470089.0
005490,POSCO,2024.06.12,377000.0,"하락  3,000",379000.0,380500.0,375500.0,249898.0
005490,POSCO,2024.06.11,380000.0,"상승  3,000",376500.0,385000.0,376500.0,344972.0
005490,POSCO,2024.06.10,377000.0,"하락  9,500",383000.0,383500.0,377000.0,350671.0
005490,POSCO,2024.06.07,386500.0,"상승  5,500",387000.0,387500.0,381500.0,380682.0
005490,POSCO,2024.06.05,381000.0,"상승  6,000",376500.0,385500.0,374000.0,420191.0
005490,POSCO,2024.06.04,375000.0,"상승  1,000",370000.0,378000.0,369500.0,243871.0
005490,POSCO,2024.06.03,374000.0,"상승  5,000",370000.0,384000.0,368500.0,377722.0
005490,POSCO,2024.05.31,369000.0,하락  500,370500.0,379500.0,368500.0,523294.0
005490,POSCO,2024.05.30,369500.0,"하락  4,500",370500.0,376000.0,367000.0,432926.0
005490,POSCO,2024.05.29,374000.0,"하락  9,000",379000.0,381000.0,373000.0,450870.0
005490,POSCO,2024.05.28,383000.0,"하락  5,500",389000.0,390500.0,382500.0,253275.0
005490,POSCO,2024.05.27,388500.0,"상승  7,000",380500.0,390500.0,375500.0,520982.0
005490,POSCO,2024.05.24,381500.0,"하락  6,000",382000.0,384000.0,380000.0,357992.0
005490,POSCO,2024.05.23,387500.0,"하락  3,000",390000.0,392000.0,385000.0,292191.0
005490,POSCO,2024.05.22,390500.0,"하락  3,000",394000.0,396000.0,390500.0,227064.0
005490,POSCO,2024.05.21,393500.0,"하락  7,500",399000.0,399500.0,392000.0,340790.0
005490,POSCO,2024.05.20,401000.0,"상승  3,000",399000.0,405000.0,398500.0,253949.0
005490,POSCO,2024.05.17,398000.0,"하락  4,500",400500.0,402500.0,398000.0,220887.0
005490,POSCO,2024.05.16,402500.0,"상승  1,000",406000.0,407500.0,401500.0,237901.0
005490,POSCO,2024.05.14,401500.0,"상승  2,500",399500.0,403000.0,399000.0,211204.0
005490,POSCO,2024.05.13,399000.0,"하락  2,000",402000.0,402500.0,396500.0,209352.0
005490,POSCO,2024.05.10,401000.0,"상승  3,000",402000.0,404000.0,399000.0,193446.0
005490,POSCO,2024.05.09,398000.0,"하락  5,500",403500.0,404000.0,398000.0,303018.0
005490,POSCO,2024.05.08,403500.0,"하락  3,000",405000.0,406500.0,401000.0,205380.0
005490,POSCO,2024.05.07,406500.0,"상승  3,000",410000.0,411500.0,404000.0,243946.0
005490,POSCO,2024.05.03,403500.0,"상승  4,500",402000.0,407500.0,399000.0,277160.0
005490,POSCO,2024.05.02,399000.0,"하락  6,000",404000.0,407500.0,399000.0,245698.0
005490,POSCO,2024.04.30,405000.0,"하락  2,000",412000.0,412000.0,404000.0,328307.0
005490,POSCO,2024.04.29,407000.0,"상승  12,500",393500.0,409000.0,392000.0,450439.0
005490,POSCO,2024.04.26,394500.0,"상승  2,000",395000.0,395500.0,389500.0,255838.0
005490,POSCO,2024.04.25,392500.0,"하락  3,500",392500.0,398500.0,391000.0,298528.0
005490,POSCO,2024.04.24,396000.0,"상승  4,500",399500.0,403500.0,395500.0,362468.0
005490,POSCO,2024.04.23,391500.0,"하락  3,500",395000.0,397500.0,389500.0,252536.0
005490,POSCO,2024.04.22,395000.0,"상승  8,500",397500.0,398500.0,390500.0,333838.0
005490,POSCO,2024.04.19,386500.0,"하락  3,500",386500.0,389500.0,377000.0,489889.0
005490,POSCO,2024.04.18,390000.0,"상승  19,000",373000.0,395000.0,373000.0,702664.0
005490,POSCO,2024.04.17,371000.0,"하락  9,500",380500.0,384000.0,371000.0,532497.0
005490,POSCO,2024.04.16,380500.0,"하락  10,000",386000.0,389000.0,380500.0,483959.0
005490,POSCO,2024.04.15,390500.0,"하락  4,500",387000.0,392000.0,386000.0,392019.0
005490,POSCO,2024.04.12,395000.0,"하락  5,000",404500.0,405000.0,394500.0,322166.0
005490,POSCO,2024.04.11,400000.0,"하락  3,500",395500.0,406000.0,393500.0,473313.0
005490,POSCO,2024.04.09,403500.0,상승  500,406500.0,411000.0,401000.0,372690.0
005490,POSCO,2024.04.08,403000.0,"상승  8,500",390500.0,404500.0,380500.0,940103.0
005490,POSCO,2024.04.05,394500.0,"하락  7,000",396000.0,400000.0,393000.0,424303.0
005490,POSCO,2024.04.04,401500.0,"상승  3,000",401000.0,405000.0,393000.0,637428.0
005490,POSCO,2024.04.03,398500.0,"하락  11,000",400000.0,404500.0,398500.0,719857.0
005490,POSCO,2024.04.02,409500.0,"하락  8,500",414000.0,417000.0,409500.0,521651.0
005490,POSCO,2024.04.01,418000.0,"하락  4,000",422000.0,424500.0,416500.0,403197.0
005490,POSCO,2024.03.29,422000.0,"상승  1,000",420000.0,426000.0,417500.0,368605.0
005490,POSCO,2024.03.28,421000.0,"하락  7,000",429500.0,430000.0,421000.0,509919.0
005490,POSCO,2024.03.27,428000.0,"하락  1,000",429000.0,432000.0,425500.0,338183.0
005490,POSCO,2024.03.26,429000.0,"하락  3,000",433500.0,435500.0,428000.0,384054.0
005490,POSCO,2024.03.25,432000.0,"상승  3,500",430000.0,435000.0,429500.0,354232.0
005490,POSCO,2024.03.22,428500.0,상승  500,427500.0,436000.0,427500.0,441565.0
005490,POSCO,2024.03.21,428000.0,"상승  1,500",430500.0,435000.0,428000.0,505623.0
