종목코드,종목명,날짜,종가,전일비,시가,고가,저가,거래량
000660,SK하이닉스,2024.08.14,187000.0,"상승  5,100",188000.0,188100.0,186700.0,1506261.0
000660,SK하이닉스,2024.08.13,181900.0,"상승  4,900",179900.0,182400.0,178800.0,4234287.0
000660,SK하이닉스,2024.08.12,177000.0,"상승  5,500",174500.0,179800.0,172600.0,4413736.0
000660,SK하이닉스,2024.08.09,171500.0,"상승  8,100",172800.0,172800.0,168800.0,5141277.0
000660,SK하이닉스,2024.08.08,163400.0,"하락  5,900",162600.0,168200.0,161200.0,5370361.0
000660,SK하이닉스,2024.08.07,169300.0,"상승  5,600",160900.0,171000.0,157400.0,9732037.0
000660,SK하이닉스,2024.08.06,163700.0,"상승  7,600",165100.0,166400.0,161500.0,10717321.0
000660,SK하이닉스,2024.08.05,156100.0,"하락  17,100",168000.0,171200.0,151600.0,12358821.0
000660,SK하이닉스,2024.08.02,173200.0,"하락  20,100",183600.0,184000.0,172400.0,13050139.0
000660,SK하이닉스,2024.08.01,193300.0,"하락  1,300",201500.0,201500.0,193300.0,6457167.0
000660,SK하이닉스,2024.07.31,194600.0,"상승  5,700",188000.0,195000.0,185200.0,6439929.0
000660,SK하이닉스,2024.07.30,188900.0,"하락  6,700",191300.0,192200.0,186500.0,5165131.0
000660,SK하이닉스,2024.07.29,195600.0,"상승  3,800",195000.0,195700.0,192200.0,4017366.0
000660,SK하이닉스,2024.07.26,191800.0,"상승  1,800",190800.0,194500.0,186100.0,8769107.0
000660,SK하이닉스,2024.07.25,190000.0,"하락  18,500",196200.0,198800.0,189000.0,12503762.0
000660,SK하이닉스,2024.07.24,208500.0,"상승  3,500",202000.0,212500.0,200000.0,4838734.0
000660,SK하이닉스,2024.07.23,205000.0,보합0,208500.0,209500.0,200500.0,5976519.0
000660,SK하이닉스,2024.07.22,205000.0,"하락  4,500",209000.0,209500.0,200500.0,6662441.0
000660,SK하이닉스,2024.07.19,209500.0,"하락  3,000",208500.0,214000.0,207000.0,4519170.0
000660,SK하이닉스,2024.07.18,212500.0,"하락  8,000",212500.0,215000.0,209000.0,8847665.0
000660,SK하이닉스,2024.07.17,220500.0,"하락  12,500",229500.0,230000.0,220500.0,6051510.0
000660,SK하이닉스,2024.07.16,233000.0,"상승  3,000",226500.0,235000.0,224000.0,3982189.0
000660,SK하이닉스,2024.07.15,230000.0,"하락  3,000",235000.0,235500.0,226500.0,3301380.0
000660,SK하이닉스,2024.07.12,233000.0,"하락  8,000",232000.0,236000.0,230000.0,4972976.0
000660,SK하이닉스,2024.07.11,241000.0,"상승  2,000",242500.0,248500.0,241000.0,5336097.0
000660,SK하이닉스,2024.07.10,239000.0,상승  500,237500.0,239000.0,234000.0,2579373.0
000660,SK하이닉스,2024.07.09,238500.0,"상승  5,000",235500.0,241000.0,233000.0,4810781.0
000660,SK하이닉스,2024.07.08,233500.0,"하락  2,500",234000.0,237000.0,232500.0,2309023.0
000660,SK하이닉스,2024.07.05,236000.0,"상승  6,000",228500.0,237500.0,227500.0,4041293.0
000660,SK하이닉스,2024.07.04,230000.0,"하락  6,000",240500.0,240500.0,225000.0,7599882.0
000660,SK하이닉스,2024.07.03,236000.0,"상승  4,000",231000.0,236000.0,225000.0,3315677.0
000660,SK하이닉스,2024.07.02,232000.0,"하락  3,500",235500.0,237000.0,230500.0,2343947.0
000660,SK하이닉스,2024.07.01,235500.0,"하락  1,000",233500.0,236500.0,232000.0,1709955.0
000660,SK하이닉스,2024.06.28,236500.0,보합0,235500.0,237500.0,232500.0,2368287.0
000660,SK하이닉스,2024.06.27,236500.0,하락  500,229500.0,239000.0,227500.0,3763005.0
000660,SK하이닉스,2024.06.26,237000.0,"상승  12,000",228000.0,238500.0,227500.0,5166862.0
000660,SK하이닉스,2024.06.25,225000.0,"상승  2,000",215500.0,225000.0,215000.0,5730999.0
000660,SK하이닉스,2024.06.24,223000.0,"하락  11,000",228000.0,230000.0,220000.0,5080726.0
000660,SK하이닉스,2024.06.21,234000.0,"하락  3,500",230500.0,234500.0,230000.0,3848394.0
000660,SK하이닉스,2024.06.20,237500.0,"상승  4,000",233500.0,238500.0,231000.0,2927358.0
000660,SK하이닉스,2024.06.19,233500.0,"하락  1,000",235000.0,243000.0,231500.0,3758652.0
000660,SK하이닉스,2024.06.18,234500.0,"상승  11,500",227000.0,234500.0,227000.0,3136231.0
000660,SK하이닉스,2024.06.17,223000.0,"상승  2,000",219000.0,229500.0,219000.0,2198340.0
000660,SK하이닉스,2024.06.14,221000.0,"하락  1,000",225000.0,225000.0,216000.0,3311223.0
000660,SK하이닉스,2024.06.13,222000.0,"상승  7,000",226000.0,226500.0,219000.0,5777279.0
000660,SK하이닉스,2024.06.12,215000.0,"상승  2,500",212000.0,216000.0,211000.0,2151331.0
000660,SK하이닉스,2024.06.11,212500.0,"상승  4,500",210000.0,215000.0,206000.0,3070163.0
000660,SK하이닉스,2024.06.10,208000.0,상승  500,206000.0,209500.0,205000.0,2448961.0
000660,SK하이닉스,2024.06.07,207500.0,"상승  13,800",199500.0,207500.0,197300.0,4805326.0
000660,SK하이닉스,2024.06.05,193700.0,상승  400,189400.0,195200.0,188800.0,2709631.0
000660,SK하이닉스,2024.06.04,193300.0,하락  900,196400.0,196500.0,192900.0,1996780.0
000660,SK하이닉스,2024.06.03,194200.0,"상승  5,000",189500.0,194600.0,188200.0,2982443.0
000660,SK하이닉스,2024.05.31,189200.0,"하락  6,500",194400.0,195200.0,188200.0,5958829.0
000660,SK하이닉스,2024.05.30,195700.0,"하락  6,800",202500.0,202500.0,195700.0,2402236.0
000660,SK하이닉스,2024.05.29,202500.0,보합0,210000.0,210000.0,200500.0,3073139.0
000660,SK하이닉스,2024.05.28,202500.0,"상승  1,000",202500.0,205500.0,200500.0,2084945.0
000660,SK하이닉스,2024.05.27,201500.0,"상승  2,900",203500.0,209000.0,199100.0,4774882.0
