종목코드,종목명,날짜,종가,전일비,시가,고가,저가,거래량
028260,삼성물산,2021.12.08,116500.0,1000.0,116500.0,118000.0,115500.0,355783.0
028260,삼성물산,2021.12.07,115500.0,1500.0,114500.0,116000.0,114000.0,305608.0
028260,삼성물산,2021.12.06,114000.0,0.0,114000.0,115000.0,112000.0,280758.0
028260,삼성물산,2021.12.03,114000.0,500.0,113000.0,115500.0,112000.0,240235.0
028260,삼성물산,2021.12.02,114500.0,4500.0,108500.0,115000.0,108000.0,505800.0
028260,삼성물산,2021.12.01,110000.0,4500.0,105500.0,110000.0,105500.0,384878.0
028260,삼성물산,2021.11.30,105500.0,2000.0,108000.0,109000.0,104000.0,684669.0
028260,삼성물산,2021.11.29,107500.0,3500.0,108500.0,110000.0,107000.0,475951.0
028260,삼성물산,2021.11.26,111000.0,2000.0,113000.0,113500.0,111000.0,237459.0
028260,삼성물산,2021.11.25,113000.0,2000.0,114500.0,115000.0,112500.0,209389.0
028260,삼성물산,2021.11.24,115000.0,500.0,115000.0,116000.0,114000.0,186742.0
028260,삼성물산,2021.11.23,115500.0,500.0,115500.0,116500.0,114000.0,210956.0
028260,삼성물산,2021.11.22,116000.0,3500.0,113000.0,116500.0,113000.0,388717.0
028260,삼성물산,2021.11.19,112500.0,1500.0,111000.0,113500.0,110000.0,310539.0
028260,삼성물산,2021.11.18,111000.0,1000.0,112000.0,113000.0,111000.0,248688.0
028260,삼성물산,2021.11.17,112000.0,2500.0,114500.0,115000.0,112000.0,256040.0
028260,삼성물산,2021.11.16,114500.0,0.0,113500.0,116000.0,113500.0,157512.0
028260,삼성물산,2021.11.15,114500.0,2000.0,113500.0,114500.0,112000.0,371531.0
028260,삼성물산,2021.11.12,112500.0,1500.0,111000.0,113000.0,110000.0,394536.0
028260,삼성물산,2021.11.11,111000.0,3000.0,113000.0,113500.0,110500.0,770940.0
028260,삼성물산,2021.11.10,114000.0,2000.0,115500.0,116500.0,114000.0,217186.0
028260,삼성물산,2021.11.09,116000.0,0.0,116500.0,118000.0,115500.0,214104.0
028260,삼성물산,2021.11.08,116000.0,0.0,116500.0,117500.0,114500.0,202174.0
028260,삼성물산,2021.11.05,116000.0,500.0,117500.0,118000.0,115000.0,235548.0
028260,삼성물산,2021.11.04,116500.0,0.0,117000.0,119000.0,116500.0,244346.0
028260,삼성물산,2021.11.03,116500.0,500.0,117500.0,118000.0,115000.0,222963.0
028260,삼성물산,2021.11.02,117000.0,2000.0,115500.0,119000.0,115500.0,330634.0
028260,삼성물산,2021.11.01,115000.0,1000.0,114500.0,116000.0,114000.0,225409.0
028260,삼성물산,2021.10.29,114000.0,3000.0,117500.0,118000.0,113500.0,559148.0
028260,삼성물산,2021.10.28,117000.0,3500.0,119000.0,120000.0,117000.0,628269.0
028260,삼성물산,2021.10.27,120500.0,1000.0,121500.0,122000.0,119500.0,165375.0
028260,삼성물산,2021.10.26,121500.0,1500.0,121000.0,121500.0,120000.0,166656.0
028260,삼성물산,2021.10.25,120000.0,500.0,120000.0,121000.0,118500.0,162789.0
028260,삼성물산,2021.10.22,120500.0,1000.0,121000.0,121500.0,120000.0,185362.0
028260,삼성물산,2021.10.21,121500.0,1000.0,120500.0,122000.0,120500.0,223843.0
028260,삼성물산,2021.10.20,120500.0,500.0,121500.0,122000.0,120500.0,177599.0
028260,삼성물산,2021.10.19,121000.0,500.0,121500.0,122000.0,120000.0,225388.0
028260,삼성물산,2021.10.18,120500.0,2000.0,123000.0,123000.0,120000.0,280537.0
028260,삼성물산,2021.10.15,122500.0,3000.0,120500.0,123000.0,120500.0,324243.0
028260,삼성물산,2021.10.14,119500.0,500.0,120000.0,121000.0,119000.0,415754.0
028260,삼성물산,2021.10.13,120000.0,1500.0,118000.0,120500.0,117500.0,230653.0
028260,삼성물산,2021.10.12,118500.0,3500.0,121500.0,122500.0,117500.0,492034.0
028260,삼성물산,2021.10.08,122000.0,500.0,122500.0,123000.0,120000.0,300486.0
028260,삼성물산,2021.10.07,122500.0,1500.0,121500.0,123500.0,121500.0,227151.0
028260,삼성물산,2021.10.06,121000.0,1000.0,122500.0,124500.0,120500.0,400898.0
028260,삼성물산,2021.10.05,122000.0,500.0,120000.0,124000.0,119500.0,395562.0
028260,삼성물산,2021.10.01,121500.0,2000.0,122500.0,123500.0,120500.0,239900.0
028260,삼성물산,2021.09.30,123500.0,1000.0,122500.0,125000.0,122000.0,270710.0
028260,삼성물산,2021.09.29,122500.0,2500.0,122500.0,123500.0,121000.0,404898.0
028260,삼성물산,2021.09.28,125000.0,2500.0,127000.0,127500.0,124500.0,423124.0
028260,삼성물산,2021.09.27,127500.0,500.0,127500.0,129000.0,127000.0,215833.0
028260,삼성물산,2021.09.24,128000.0,2500.0,130000.0,130000.0,127500.0,292199.0
028260,삼성물산,2021.09.23,130500.0,1000.0,128000.0,130500.0,127000.0,284223.0
028260,삼성물산,2021.09.17,129500.0,1000.0,128500.0,129500.0,128500.0,301317.0
028260,삼성물산,2021.09.16,128500.0,1500.0,131000.0,131000.0,128500.0,250397.0
028260,삼성물산,2021.09.15,130000.0,0.0,129500.0,131000.0,129000.0,187186.0
028260,삼성물산,2021.09.14,130000.0,500.0,130000.0,131000.0,129500.0,274897.0
028260,삼성물산,2021.09.13,129500.0,500.0,128500.0,130000.0,127500.0,271504.0
028260,삼성물산,2021.09.10,129000.0,1500.0,128000.0,129000.0,127000.0,262266.0
028260,삼성물산,2021.09.09,127500.0,3000.0,129500.0,130500.0,127500.0,573756.0
028260,삼성물산,2021.09.08,130500.0,0.0,130000.0,131000.0,130000.0,241564.0
028260,삼성물산,2021.09.07,130500.0,1500.0,131500.0,131500.0,130000.0,183952.0
028260,삼성물산,2021.09.06,132000.0,0.0,132000.0,132500.0,130500.0,157284.0
028260,삼성물산,2021.09.03,132000.0,500.0,131500.0,133000.0,131000.0,180457.0
028260,삼성물산,2021.09.02,131500.0,1500.0,132500.0,133000.0,130500.0,278068.0
028260,삼성물산,2021.09.01,133000.0,0.0,132500.0,134000.0,131000.0,223657.0
028260,삼성물산,2021.08.31,133000.0,1500.0,131500.0,133500.0,129000.0,475478.0
028260,삼성물산,2021.08.30,131500.0,1000.0,134000.0,134000.0,131500.0,204717.0
028260,삼성물산,2021.08.27,132500.0,500.0,132500.0,133500.0,131000.0,247480.0
028260,삼성물산,2021.08.26,132000.0,1500.0,133500.0,134500.0,131500.0,218948.0
028260,삼성물산,2021.08.25,133500.0,2000.0,132500.0,135500.0,132000.0,290567.0
028260,삼성물산,2021.08.24,131500.0,2500.0,129500.0,132000.0,129500.0,253293.0
028260,삼성물산,2021.08.23,129000.0,2000.0,128500.0,130500.0,127500.0,228713.0
028260,삼성물산,2021.08.20,127000.0,2500.0,130500.0,131000.0,126500.0,400224.0
028260,삼성물산,2021.08.19,129500.0,4500.0,133500.0,134500.0,129000.0,514761.0
028260,삼성물산,2021.08.18,134000.0,500.0,133500.0,135000.0,132500.0,405136.0
028260,삼성물산,2021.08.17,133500.0,500.0,135000.0,136000.0,132000.0,519009.0
028260,삼성물산,2021.08.13,134000.0,1000.0,136000.0,136500.0,132500.0,474613.0
028260,삼성물산,2021.08.12,135000.0,3500.0,139000.0,139500.0,135000.0,681689.0
028260,삼성물산,2021.08.11,138500.0,1000.0,140000.0,140000.0,136000.0,447548.0
028260,삼성물산,2021.08.10,139500.0,3000.0,144000.0,144000.0,138500.0,691321.0
028260,삼성물산,2021.08.09,142500.0,2000.0,144500.0,145000.0,141500.0,511137.0
028260,삼성물산,2021.08.06,144500.0,500.0,146000.0,146000.0,143500.0,251352.0
028260,삼성물산,2021.08.05,145000.0,500.0,144500.0,146000.0,144000.0,360380.0
028260,삼성물산,2021.08.04,144500.0,1000.0,143500.0,144500.0,142000.0,389169.0
028260,삼성물산,2021.08.03,143500.0,0.0,143000.0,144000.0,140500.0,421163.0
028260,삼성물산,2021.08.02,143500.0,2000.0,142000.0,144500.0,141500.0,450176.0
028260,삼성물산,2021.07.30,141500.0,2500.0,144000.0,144000.0,139500.0,488925.0
028260,삼성물산,2021.07.29,144000.0,1500.0,143500.0,144500.0,142500.0,616059.0
028260,삼성물산,2021.07.28,142500.0,4000.0,138500.0,143000.0,138500.0,903793.0
028260,삼성물산,2021.07.27,138500.0,2500.0,138000.0,141500.0,137500.0,814776.0
028260,삼성물산,2021.07.26,136000.0,1500.0,138000.0,138000.0,136000.0,184505.0
028260,삼성물산,2021.07.23,137500.0,0.0,137500.0,138500.0,137000.0,237329.0
028260,삼성물산,2021.07.22,137500.0,1000.0,136500.0,138000.0,135500.0,388645.0
028260,삼성물산,2021.07.21,136500.0,5000.0,133500.0,137500.0,132000.0,916127.0
028260,삼성물산,2021.07.20,131500.0,1000.0,130000.0,131500.0,130000.0,288857.0
028260,삼성물산,2021.07.19,132500.0,2000.0,133000.0,133000.0,131000.0,254345.0
028260,삼성물산,2021.07.16,134500.0,0.0,133000.0,134500.0,132000.0,206260.0
028260,삼성물산,2021.07.15,134500.0,0.0,135000.0,135500.0,133500.0,216304.0
028260,삼성물산,2021.07.14,134500.0,2000.0,132000.0,134500.0,131000.0,308969.0
