종목코드,종목명,날짜,종가,전일비,시가,고가,저가,거래량
068270,셀트리온,2022.05.13,145000.0,9500.0,149000.0,152000.0,142500.0,1382157.0
068270,셀트리온,2022.05.12,154500.0,7500.0,160000.0,160500.0,154000.0,598450.0
068270,셀트리온,2022.05.11,162000.0,0.0,160500.0,163500.0,160000.0,238308.0
068270,셀트리온,2022.05.10,162000.0,3000.0,163500.0,165000.0,160000.0,415215.0
068270,셀트리온,2022.05.09,165000.0,4500.0,167500.0,169500.0,163500.0,281671.0
068270,셀트리온,2022.05.06,169500.0,500.0,165000.0,170500.0,165000.0,356218.0
068270,셀트리온,2022.05.04,169000.0,3000.0,172500.0,173500.0,167500.0,260925.0
068270,셀트리온,2022.05.03,172000.0,1000.0,172500.0,176000.0,172000.0,228276.0
068270,셀트리온,2022.05.02,173000.0,3000.0,174500.0,176000.0,172000.0,249757.0
068270,셀트리온,2022.04.29,176000.0,0.0,175000.0,178000.0,173000.0,353925.0
068270,셀트리온,2022.04.28,176000.0,5000.0,171000.0,176000.0,170000.0,463612.0
068270,셀트리온,2022.04.27,171000.0,3000.0,164500.0,176000.0,163000.0,884149.0
068270,셀트리온,2022.04.26,168000.0,12500.0,157500.0,170000.0,157500.0,959337.0
068270,셀트리온,2022.04.25,155500.0,3500.0,156500.0,158000.0,155500.0,287260.0
068270,셀트리온,2022.04.22,159000.0,500.0,157500.0,160000.0,157000.0,248035.0
068270,셀트리온,2022.04.21,159500.0,0.0,161000.0,162500.0,159500.0,226923.0
068270,셀트리온,2022.04.20,159500.0,1000.0,160000.0,160500.0,158000.0,241732.0
068270,셀트리온,2022.04.19,160500.0,4000.0,156500.0,161000.0,156500.0,270917.0
068270,셀트리온,2022.04.18,156500.0,2000.0,157000.0,159000.0,155500.0,274233.0
068270,셀트리온,2022.04.15,158500.0,5500.0,161500.0,162000.0,157500.0,444152.0
068270,셀트리온,2022.04.14,164000.0,500.0,164000.0,164500.0,161000.0,358845.0
068270,셀트리온,2022.04.13,164500.0,3500.0,161000.0,164500.0,161000.0,236840.0
068270,셀트리온,2022.04.12,161000.0,1000.0,159500.0,163500.0,159000.0,285933.0
068270,셀트리온,2022.04.11,162000.0,2000.0,163500.0,164000.0,159500.0,304419.0
068270,셀트리온,2022.04.08,164000.0,2500.0,167500.0,168000.0,163000.0,291965.0
068270,셀트리온,2022.04.07,166500.0,2000.0,167500.0,170000.0,166000.0,365033.0
068270,셀트리온,2022.04.06,168500.0,3000.0,170500.0,172000.0,168000.0,323766.0
068270,셀트리온,2022.04.05,171500.0,1500.0,170500.0,171500.0,168500.0,218135.0
068270,셀트리온,2022.04.04,170000.0,1000.0,169000.0,171000.0,168500.0,216519.0
068270,셀트리온,2022.04.01,169000.0,2500.0,170000.0,170500.0,168500.0,292355.0
068270,셀트리온,2022.03.31,171500.0,2500.0,174500.0,175500.0,170000.0,374991.0
068270,셀트리온,2022.03.30,174000.0,3500.0,172000.0,175000.0,170000.0,511635.0
068270,셀트리온,2022.03.29,170500.0,2500.0,169000.0,171500.0,168500.0,408739.0
068270,셀트리온,2022.03.28,168000.0,2500.0,165500.0,169000.0,164500.0,404844.0
068270,셀트리온,2022.03.25,165500.0,2500.0,169000.0,169000.0,165000.0,674540.0
068270,셀트리온,2022.03.24,168000.0,1500.0,169000.0,171000.0,164500.0,798085.0
068270,셀트리온,2022.03.23,169500.0,1500.0,169500.0,171000.0,168500.0,657221.0
068270,셀트리온,2022.03.22,168000.0,13000.0,169000.0,171000.0,167000.0,3948396.0
068270,셀트리온,2022.03.21,181000.0,5500.0,188000.0,188000.0,180500.0,506427.0
068270,셀트리온,2022.03.18,186500.0,1000.0,189500.0,189500.0,185500.0,476640.0
068270,셀트리온,2022.03.17,185500.0,4500.0,185000.0,189500.0,184000.0,743312.0
068270,셀트리온,2022.03.16,181000.0,1000.0,182000.0,182500.0,179000.0,345157.0
068270,셀트리온,2022.03.15,180000.0,500.0,181500.0,183000.0,176000.0,580204.0
068270,셀트리온,2022.03.14,180500.0,7500.0,183500.0,188500.0,178500.0,1451284.0
