종목코드,종목명,날짜,종가,전일비,시가,고가,저가,거래량
005380,현대차,2022.03.07,168000.0,4500.0,170000.0,171000.0,165500.0,1359158.0
005380,현대차,2022.03.04,172500.0,5000.0,176500.0,177500.0,172500.0,868483.0
005380,현대차,2022.03.03,177500.0,7000.0,173500.0,179000.0,173000.0,1244300.0
005380,현대차,2022.03.02,170500.0,4500.0,171500.0,172500.0,169500.0,1384049.0
005380,현대차,2022.02.28,175000.0,1000.0,171000.0,175000.0,168000.0,1247805.0
005380,현대차,2022.02.25,174000.0,1000.0,175000.0,175500.0,171500.0,949885.0
005380,현대차,2022.02.24,173000.0,7500.0,178500.0,179000.0,171000.0,1722526.0
005380,현대차,2022.02.23,180500.0,1000.0,182500.0,183000.0,179500.0,549304.0
005380,현대차,2022.02.22,181500.0,3500.0,180500.0,183000.0,180000.0,572593.0
005380,현대차,2022.02.21,185000.0,1500.0,180500.0,185500.0,179500.0,463279.0
005380,현대차,2022.02.18,183500.0,0.0,181000.0,184000.0,180500.0,426090.0
005380,현대차,2022.02.17,183500.0,1500.0,183000.0,186000.0,181000.0,767679.0
005380,현대차,2022.02.16,182000.0,1500.0,184500.0,185500.0,181000.0,561867.0
005380,현대차,2022.02.15,180500.0,4000.0,177000.0,183000.0,176500.0,961742.0
005380,현대차,2022.02.14,176500.0,6500.0,179500.0,181000.0,176000.0,1380176.0
005380,현대차,2022.02.11,183000.0,2500.0,183000.0,184500.0,181000.0,1001635.0
005380,현대차,2022.02.10,185500.0,500.0,186000.0,187000.0,182500.0,1280607.0
005380,현대차,2022.02.09,185000.0,500.0,186000.0,186000.0,182500.0,1015966.0
005380,현대차,2022.02.08,184500.0,2000.0,186500.0,188000.0,183500.0,1150733.0
005380,현대차,2022.02.07,186500.0,3500.0,189500.0,190000.0,184500.0,829365.0
005380,현대차,2022.02.04,190000.0,1500.0,190500.0,192000.0,188000.0,837609.0
005380,현대차,2022.02.03,191500.0,2000.0,193000.0,195500.0,191500.0,837241.0
005380,현대차,2022.01.28,189500.0,3000.0,186500.0,190500.0,180000.0,1415358.0
005380,현대차,2022.01.27,186500.0,3500.0,190000.0,191500.0,185500.0,1072651.0
005380,현대차,2022.01.26,190000.0,4500.0,193000.0,194500.0,189500.0,1191581.0
005380,현대차,2022.01.25,194500.0,2500.0,196500.0,197000.0,190000.0,1174185.0
005380,현대차,2022.01.24,197000.0,3000.0,197500.0,200000.0,195000.0,659010.0
005380,현대차,2022.01.21,200000.0,2000.0,199500.0,201000.0,198500.0,513891.0
005380,현대차,2022.01.20,202000.0,1500.0,200500.0,202500.0,199500.0,451581.0
005380,현대차,2022.01.19,200500.0,2000.0,200500.0,203500.0,200000.0,525014.0
005380,현대차,2022.01.18,202500.0,2500.0,206000.0,206000.0,201500.0,580959.0
005380,현대차,2022.01.17,205000.0,4000.0,208500.0,209000.0,202500.0,724213.0
005380,현대차,2022.01.14,209000.0,1000.0,209500.0,211000.0,208000.0,406569.0
005380,현대차,2022.01.13,210000.0,1500.0,211500.0,213000.0,210000.0,499094.0
005380,현대차,2022.01.12,211500.0,1000.0,211500.0,213000.0,210500.0,470451.0
005380,현대차,2022.01.11,210500.0,1000.0,209500.0,211500.0,209000.0,482235.0
005380,현대차,2022.01.10,209500.0,5500.0,214000.0,215000.0,209000.0,744261.0
005380,현대차,2022.01.07,215000.0,1000.0,214500.0,216500.0,213500.0,577852.0
005380,현대차,2022.01.06,214000.0,500.0,210000.0,216500.0,210000.0,866582.0
005380,현대차,2022.01.05,213500.0,3500.0,214000.0,217500.0,212000.0,1175411.0
005380,현대차,2022.01.04,210000.0,500.0,212500.0,212500.0,208500.0,499857.0
005380,현대차,2022.01.03,210500.0,1500.0,211500.0,212500.0,209000.0,468732.0
005380,현대차,2021.12.30,209000.0,3000.0,211500.0,212000.0,208500.0,581448.0
005380,현대차,2021.12.29,212000.0,2000.0,213000.0,215000.0,211500.0,659392.0
005380,현대차,2021.12.28,214000.0,500.0,215000.0,215000.0,211500.0,880326.0
005380,현대차,2021.12.27,213500.0,2000.0,216500.0,217000.0,213500.0,530039.0
005380,현대차,2021.12.24,215500.0,6500.0,210500.0,216500.0,210500.0,1024355.0
005380,현대차,2021.12.23,209000.0,2500.0,208000.0,209000.0,207000.0,372738.0
005380,현대차,2021.12.22,206500.0,1500.0,207000.0,209500.0,205500.0,480545.0
005380,현대차,2021.12.21,205000.0,0.0,206000.0,207500.0,204000.0,548609.0
005380,현대차,2021.12.20,205000.0,4500.0,209000.0,209500.0,204500.0,542620.0
005380,현대차,2021.12.17,209500.0,0.0,208500.0,211500.0,208000.0,623863.0
005380,현대차,2021.12.16,209500.0,500.0,211500.0,212000.0,208000.0,457620.0
005380,현대차,2021.12.15,209000.0,2000.0,210500.0,211500.0,208500.0,436219.0
005380,현대차,2021.12.14,211000.0,2000.0,208000.0,212000.0,207500.0,499536.0
005380,현대차,2021.12.13,209000.0,1500.0,210000.0,214000.0,209000.0,877690.0
005380,현대차,2021.12.10,207500.0,500.0,207000.0,209500.0,205500.0,443350.0
005380,현대차,2021.12.09,207000.0,500.0,207000.0,210000.0,206500.0,775215.0
005380,현대차,2021.12.08,207500.0,0.0,210000.0,211000.0,207000.0,502904.0
005380,현대차,2021.12.07,207500.0,1000.0,206000.0,208000.0,204000.0,501624.0
