종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
459580,6,KODEX CD금리액티브(합성),1045070,2,210,0.02,1045066.0,0.8897,318380,332728,92298,채권,KODEX,False,False,False
357870,6,TIGER CD금리투자KIS(합성),54780,2,15,0.03,54786.0,0.8842,315100,17261,59978,채권,TIGER,False,False,False
069500,1,KODEX 200,36080,2,380,1.06,36166.0,-3.5501,1632714,58983,55834,국내 시장지수,KODEX,False,False,False
423160,6,KODEX KOFR금리액티브(합성),107710,2,15,0.01,107682.0,0.8946,8378,902,44505,채권,KODEX,False,False,False
360750,4,TIGER 미국S&P500,18435,2,160,0.88,18432.0,2.7898,672916,12417,41940,해외 주식,TIGER,False,False,False
449170,6,TIGER KOFR금리액티브(합성),106240,2,20,0.02,106213.0,0.8976,16658,1769,37423,채권,TIGER,False,False,False
133690,4,TIGER 미국나스닥100,115400,2,1940,1.71,115297.0,2.3997,85096,9826,35416,해외 주식,TIGER,False,False,False
273130,6,KODEX 종합채권(AA-이상)액티브,114190,2,185,0.16,114201.0,3.806,4610,526,28297,채권,KODEX,False,False,False
381170,4,TIGER 미국테크TOP10 INDXX,19935,2,400,2.05,19906.0,6.0819,501156,9988,26753,해외 주식,TIGER,False,False,False
381180,4,TIGER 미국필라델피아반도체나스닥,17855,2,585,3.39,17795.0,-0.827,1210504,21612,26479,해외 주식,TIGER,False,False,False
122630,3,KODEX 레버리지,18090,2,380,2.15,18194.0,-9.5506,9091144,164778,23255,국내 파생,KODEX,False,True,False
278530,1,KODEX 200TR,12600,2,130,1.04,12622.0,-3.4457,75508,952,22245,국내 시장지수,KODEX,False,False,False
465680,6,KODEX 24-12 은행채(AA+이상)액티브,10385,3,0,0.0,10386.0,0.9722,765,7,21825,채권,KODEX,False,False,False
102110,1,TIGER 200,36160,2,385,1.08,36229.0,-3.4387,1077372,39000,19020,국내 시장지수,TIGER,False,False,False
481050,6,KODEX 1년은행양도성예금증서+액티브(합성),1011865,2,85,0.01,1011956.0,0.8924,7101,7185,17925,채권,KODEX,False,False,False
455890,6,RISE 머니마켓액티브,52755,2,10,0.02,52760.0,1.0053,32716,1725,17915,채권,RISE,False,False,False
470260,6,TIGER 24-12 금융채(AA-이상),51740,2,15,0.03,51748.0,1.0253,4818,249,16188,채권,TIGER,False,False,False
379800,4,KODEX 미국S&P500TR,16850,2,155,0.93,16846.0,2.8017,382015,6440,15839,해외 주식,KODEX,False,False,False
371460,4,TIGER 차이나전기차SOLACTIVE,6710,2,55,0.83,6695.0,-16.9682,147981,994,15226,해외 주식,TIGER,False,False,False
453850,6,ACE 미국30년국채액티브(H),8830,2,60,0.68,8833.0,7.3176,702807,6204,14773,채권,ACE,False,False,True
233740,3,KODEX 코스닥150레버리지,9315,2,260,2.87,9362.0,-18.2024,7652238,71308,14299,국내 파생,KODEX,False,True,False
214980,6,KODEX 단기채권PLUS,111585,3,0,0.0,111610.0,0.9956,205628,22947,14157,채권,KODEX,False,False,False
385540,6,RISE 종합채권(A-이상)액티브,105890,2,190,0.18,105877.0,3.8871,116,12,12798,채권,RISE,False,False,False
102780,2,KODEX 삼성그룹,9290,2,15,0.16,9302.0,-3.3855,58518,545,12792,국내 업종/테마,KODEX,False,False,False
252670,3,KODEX 200선물인버스2X,2075,5,-45,-2.12,2076.0,4.6913,81548115,168787,12184,국내 파생,KODEX,True,False,False
148020,1,RISE 200,36350,2,390,1.08,36429.0,-3.4968,250776,9132,12068,국내 시장지수,RISE,False,False,False
310970,1,TIGER MSCI Korea TR,15500,2,225,1.47,15501.0,-3.3228,605,9,11982,국내 시장지수,TIGER,False,False,False
458730,4,TIGER 미국배당다우존스,11700,2,35,0.3,11699.0,1.8688,268250,3140,11893,해외 주식,TIGER,False,False,False
360200,4,ACE 미국S&P500,18635,2,160,0.87,18634.0,2.8503,116191,2167,11703,해외 주식,ACE,False,False,False
315930,2,KODEX Top5PlusTR,23135,2,290,1.27,23185.0,-1.4027,58436,1356,11660,국내 업종/테마,KODEX,False,False,False
