종목코드,종목명,날짜,종가,전일비,시가,고가,저가,거래량
326030,SK바이오팜,2024.08.14,97000.0,보합0,97400.0,98900.0,96300.0,93944.0
326030,SK바이오팜,2024.08.13,97000.0,"하락  1,800",98000.0,99800.0,95300.0,393782.0
326030,SK바이오팜,2024.08.12,98800.0,"상승  6,500",94200.0,99200.0,93000.0,707165.0
326030,SK바이오팜,2024.08.09,92300.0,"상승  2,500",91000.0,93400.0,89300.0,342745.0
326030,SK바이오팜,2024.08.08,89800.0,"상승  4,300",84500.0,92900.0,82800.0,698388.0
326030,SK바이오팜,2024.08.07,85500.0,"상승  6,400",77600.0,85700.0,77500.0,180833.0
326030,SK바이오팜,2024.08.06,79100.0,"상승  1,700",79300.0,82200.0,78200.0,163093.0
326030,SK바이오팜,2024.08.05,77400.0,"하락  8,700",85000.0,85300.0,72600.0,214229.0
326030,SK바이오팜,2024.08.02,86100.0,"하락  1,000",86100.0,87900.0,85100.0,119535.0
326030,SK바이오팜,2024.08.01,87100.0,"상승  1,400",85800.0,88400.0,85300.0,101239.0
326030,SK바이오팜,2024.07.31,85700.0,"상승  1,200",85000.0,88000.0,84100.0,188739.0
326030,SK바이오팜,2024.07.30,84500.0,하락  500,84200.0,85900.0,83800.0,55141.0
326030,SK바이오팜,2024.07.29,85000.0,"상승  1,300",84100.0,86200.0,84000.0,82138.0
326030,SK바이오팜,2024.07.26,83700.0,하락  600,84500.0,85500.0,83600.0,52753.0
326030,SK바이오팜,2024.07.25,84300.0,하락  700,85300.0,85600.0,83300.0,57486.0
326030,SK바이오팜,2024.07.24,85000.0,"상승  1,200",83000.0,86000.0,82800.0,66613.0
326030,SK바이오팜,2024.07.23,83800.0,"하락  1,500",85300.0,85800.0,83700.0,70642.0
326030,SK바이오팜,2024.07.22,85300.0,"하락  1,100",86000.0,87100.0,84600.0,69411.0
326030,SK바이오팜,2024.07.19,86400.0,상승  100,85100.0,86700.0,84200.0,79657.0
326030,SK바이오팜,2024.07.18,86300.0,"상승  1,200",85500.0,87500.0,84500.0,245936.0
326030,SK바이오팜,2024.07.17,85100.0,"상승  3,300",83300.0,86400.0,82900.0,263057.0
326030,SK바이오팜,2024.07.16,81800.0,보합0,82200.0,82700.0,80500.0,71493.0
326030,SK바이오팜,2024.07.15,81800.0,"하락  1,200",83800.0,83800.0,81700.0,73241.0
326030,SK바이오팜,2024.07.12,83000.0,"상승  2,700",80500.0,83800.0,80100.0,145779.0
326030,SK바이오팜,2024.07.11,80300.0,상승  300,80900.0,81000.0,79100.0,87512.0
326030,SK바이오팜,2024.07.10,80000.0,하락  700,79900.0,81000.0,79400.0,55437.0
326030,SK바이오팜,2024.07.09,80700.0,상승  800,80300.0,81200.0,79700.0,98503.0
326030,SK바이오팜,2024.07.08,79900.0,상승  900,80100.0,80900.0,78700.0,116454.0
326030,SK바이오팜,2024.07.05,79000.0,"상승  1,900",77200.0,79800.0,76700.0,118693.0
