종목코드,종목명,날짜,종가,전일비,시가,고가,저가,거래량
005930,삼성전자,2022.05.16,66900.0,400.0,67100.0,67400.0,66800.0,3125788.0
005930,삼성전자,2022.05.13,66500.0,1600.0,65300.0,66700.0,65200.0,14551536.0
005930,삼성전자,2022.05.12,64900.0,800.0,65200.0,65500.0,64900.0,16414188.0
005930,삼성전자,2022.05.11,65700.0,0.0,65500.0,66300.0,65200.0,12330920.0
005930,삼성전자,2022.05.10,65700.0,400.0,65900.0,66300.0,65300.0,17235605.0
005930,삼성전자,2022.05.09,66100.0,400.0,66300.0,66900.0,66100.0,11858736.0
005930,삼성전자,2022.05.06,66500.0,1400.0,67000.0,67100.0,66500.0,14356156.0
005930,삼성전자,2022.05.04,67900.0,400.0,68000.0,68400.0,67500.0,11505248.0
005930,삼성전자,2022.05.03,67500.0,200.0,67400.0,68400.0,67300.0,14168875.0
005930,삼성전자,2022.05.02,67300.0,100.0,66600.0,67600.0,66500.0,14106184.0
005930,삼성전자,2022.04.29,67400.0,2600.0,65100.0,67600.0,65000.0,26190390.0
005930,삼성전자,2022.04.28,64800.0,200.0,65400.0,65500.0,64500.0,16895527.0
005930,삼성전자,2022.04.27,65000.0,1100.0,65400.0,65500.0,64900.0,18122084.0
005930,삼성전자,2022.04.26,66100.0,200.0,66400.0,66700.0,66100.0,12946923.0
005930,삼성전자,2022.04.25,66300.0,700.0,66500.0,66700.0,66300.0,11016474.0
005930,삼성전자,2022.04.22,67000.0,700.0,67200.0,67300.0,66700.0,11791478.0
005930,삼성전자,2022.04.21,67700.0,300.0,67600.0,68300.0,67500.0,12847448.0
005930,삼성전자,2022.04.20,67400.0,100.0,67000.0,67400.0,66500.0,16693293.0
005930,삼성전자,2022.04.19,67300.0,600.0,67100.0,68000.0,67000.0,12959434.0
005930,삼성전자,2022.04.18,66700.0,100.0,66500.0,67100.0,66100.0,10119203.0
005930,삼성전자,2022.04.15,66600.0,900.0,67200.0,67300.0,66500.0,13176415.0
005930,삼성전자,2022.04.14,67500.0,1200.0,68700.0,68700.0,67500.0,16409494.0
005930,삼성전자,2022.04.13,68700.0,1700.0,67300.0,69000.0,67200.0,17378619.0
005930,삼성전자,2022.04.12,67000.0,900.0,67600.0,67700.0,67000.0,13924389.0
005930,삼성전자,2022.04.11,67900.0,100.0,67800.0,68100.0,67400.0,12263735.0
005930,삼성전자,2022.04.08,67800.0,200.0,68100.0,68300.0,67700.0,15453191.0
005930,삼성전자,2022.04.07,68000.0,500.0,68500.0,68500.0,68000.0,20683327.0
005930,삼성전자,2022.04.06,68500.0,700.0,68600.0,68800.0,68500.0,15517308.0
005930,삼성전자,2022.04.05,69200.0,100.0,69400.0,69600.0,69100.0,8467248.0
005930,삼성전자,2022.04.04,69300.0,200.0,68900.0,69300.0,68600.0,11107905.0
005930,삼성전자,2022.04.01,69100.0,500.0,69500.0,69500.0,69000.0,15916846.0
005930,삼성전자,2022.03.31,69600.0,300.0,69900.0,70200.0,69600.0,12510366.0
005930,삼성전자,2022.03.30,69900.0,300.0,70300.0,70500.0,69800.0,12670187.0
005930,삼성전자,2022.03.29,70200.0,500.0,70000.0,70300.0,69800.0,13686208.0
005930,삼성전자,2022.03.28,69700.0,100.0,69500.0,69900.0,69200.0,12619289.0
005930,삼성전자,2022.03.25,69800.0,0.0,70100.0,70200.0,69600.0,12986010.0
005930,삼성전자,2022.03.24,69800.0,700.0,69600.0,70300.0,69600.0,37943357.0
005930,삼성전자,2022.03.23,70500.0,200.0,70600.0,71200.0,70300.0,12398025.0
005930,삼성전자,2022.03.22,70300.0,400.0,69900.0,70500.0,69900.0,9402666.0
005930,삼성전자,2022.03.21,69900.0,800.0,70900.0,71000.0,69900.0,11169002.0
005930,삼성전자,2022.03.18,70700.0,500.0,70600.0,70900.0,70200.0,14410038.0
005930,삼성전자,2022.03.17,71200.0,800.0,71200.0,71800.0,70900.0,17646315.0
005930,삼성전자,2022.03.16,70400.0,900.0,70200.0,70500.0,69700.0,10175750.0
005930,삼성전자,2022.03.15,69500.0,700.0,69800.0,70100.0,69500.0,10258562.0
005930,삼성전자,2022.03.14,70200.0,200.0,70000.0,70200.0,69600.0,9040993.0
005930,삼성전자,2022.03.11,70000.0,1200.0,70500.0,70700.0,69700.0,15787655.0
005930,삼성전자,2022.03.10,71200.0,1700.0,70800.0,71200.0,70500.0,21159248.0
005930,삼성전자,2022.03.08,69500.0,600.0,68800.0,70000.0,68700.0,15828269.0
005930,삼성전자,2022.03.07,70100.0,1400.0,70000.0,70600.0,69900.0,18617138.0
005930,삼성전자,2022.03.04,71500.0,1400.0,72700.0,72700.0,71200.0,13409634.0
005930,삼성전자,2022.03.03,72900.0,1200.0,72300.0,73100.0,72200.0,13232638.0
005930,삼성전자,2022.03.02,71700.0,400.0,72300.0,72400.0,71500.0,12481430.0
005930,삼성전자,2022.02.28,72100.0,200.0,71100.0,72100.0,71000.0,17781783.0
005930,삼성전자,2022.02.25,71900.0,400.0,72100.0,72600.0,71900.0,13168484.0
005930,삼성전자,2022.02.24,71500.0,1500.0,72300.0,72300.0,71300.0,15759283.0
005930,삼성전자,2022.02.23,73000.0,400.0,73800.0,73800.0,72800.0,10397964.0
005930,삼성전자,2022.02.22,73400.0,800.0,73000.0,73400.0,72800.0,11692469.0
005930,삼성전자,2022.02.21,74200.0,100.0,73200.0,74300.0,72600.0,10489717.0
005930,삼성전자,2022.02.18,74300.0,700.0,74600.0,74800.0,73700.0,10122226.0
005930,삼성전자,2022.02.17,75000.0,200.0,75000.0,75600.0,74500.0,13605382.0
005930,삼성전자,2022.02.16,74800.0,1100.0,74600.0,74900.0,74200.0,10767386.0
005930,삼성전자,2022.02.15,73700.0,0.0,74100.0,74200.0,73100.0,9320365.0
