itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,34705,2,100,0.29,34743.0,-5.7342,755111,26275,48223
371460,4,TIGER 차이나전기차SOLACTIVE,13025,2,160,1.24,12886.0,-11.793,343130,4477,33271
122630,3,KODEX 레버리지,18235,2,100,0.55,18278.0,-12.5603,4447083,81634,22675
133690,4,TIGER 미국나스닥100,71100,2,1670,2.41,70830.0,-11.0386,23670,1683,20256
214980,6,KODEX 단기채권PLUS,103905,2,5,0.0,103907.0,0.3137,638,66,19392
252670,3,KODEX 200선물인버스2X,2685,5,-10,-0.37,2687.0,10.4508,44593643,118885,18250
102110,1,TIGER 200,34755,2,85,0.25,34798.0,-5.6933,174378,6074,18073
157450,6,TIGER 단기통안채,100860,5,-5,0.0,100858.0,0.2684,15104,1523,17889
360750,4,TIGER 미국S&P500,12945,2,165,1.29,12919.0,-4.7691,166905,2159,15825
153130,6,KODEX 단기채권,103440,5,-5,0.0,103443.0,0.2374,347,35,14929
273130,6,KODEX 종합채권(AA-이상)액티브,103210,5,-410,-0.4,103191.0,-2.2084,44,4,14227
102780,2,KODEX 삼성그룹,8900,2,20,0.23,8913.0,-0.4262,47538,425,14187
381180,4,TIGER 미국필라델피아반도체나스닥,10225,2,315,3.18,10200.0,-12.2388,321724,3292,13661
305720,2,KODEX 2차전지산업,19260,2,200,1.05,19284.0,4.0393,475268,9193,13039
310970,1,TIGER MSCI Korea TR,14185,2,125,0.89,14134.0,-7.1335,26,0,12993
381170,4,TIGER 미국테크TOP10 INDXX,10455,2,245,2.4,10412.0,-13.1064,107856,1128,12870
305540,2,TIGER 2차전지테마,19695,2,235,1.21,19744.0,4.7024,260505,5146,12733
278530,1,KODEX 200TR,11550,2,30,0.26,11570.0,-5.9208,4793,55,11954
292150,2,TIGER TOP10,11390,2,55,0.49,11415.0,-9.4721,98992,1131,11732
148020,1,KBSTAR 200,34850,2,75,0.22,34919.0,-5.6489,6146,214,9653
233740,3,KODEX 코스닥150레버리지,10250,2,200,1.99,10370.0,-4.0573,3775062,38884,9328
139260,2,TIGER 200 IT,31320,2,120,0.38,31353.0,-8.4857,13544,424,8162
114800,3,KODEX 인버스,4495,5,-10,-0.22,4499.0,5.6271,10927879,48936,8037
278540,1,KODEX MSCI Korea TR,11230,2,75,0.67,11255.0,-7.2735,2231,25,7457
105190,1,KINDEX 200,34775,2,115,0.33,34800.0,-5.8869,118,4,7164
