종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2021.12),추정PERlEPS,PBRlBPS (2021.12),배당수익률,동일업종 PER,동일업종 등락률,배당수익률l2021.12,PERlEPS(2022.03),PBRlBPS (2022.03),PERlEPS(2022.02),PBRlBPS (2022.02),배당수익률l2021.11
HLB생명과학 *,17900.0,1500.0,+9.15%,17850.0,17900.0,1861058.0,32448.0,1680209.0,2022-05-22,HLB생명과학,067630,155.0,-101.0,-646.0,-65.16,-416.31,-18.43,9.81,524.8,402.43,-676.0,-23.93,2578.0,4.83,,,,"1조  7,094  억원",코스닥 23위,95498081,500원  l  1주,95498081,5822144,6.10%,N/A  l  N/A,"23,000  l  9,310",N/A  l  -520원,N/A  l  N/A,"6.94배  l  2,578원",,81.13배,+1.95%,,,,,,
엔지켐생명과학 *,22700.0,1400.0,+6.57%,22600.0,22700.0,124769.0,2794.0,107956.0,2022-05-22,엔지켐생명과학,183490,65.0,-52.0,-73.0,-80.25,-112.7,-37.87,78.25,188.91,1595.41,-660.0,-21.68,6739.0,8.16,,,,"3,163  억원",코스닥 276위,13933768,500원  l  1주,13933768,1625024,11.66%,N/A  l  N/A,"100,375  l  19,150","N/A  l  -2,532원",N/A  l  N/A,"3.37배  l  6,739원",,81.13배,+1.95%,,,,,,
HK이노엔 *,40450.0,2450.0,+6.45%,40450.0,40500.0,236154.0,9429.0,74531.0,2022-05-22,HK이노엔,195940,2094.0,173.0,90.0,8.24,4.32,2.61,59.65,83.63,3948.64,313.0,53.55,39819.0,1.32,,,,"1조  1,692  억원",코스닥 41위,28904499,500원  l  1주,28904499,853773,2.95%,"4.00매수  l  53,000","80,300  l  37,300",41.28배  l  980원,"30.00배  l  1,370원","1.02배  l  39,819원",,81.13배,+1.95%,0.79%,,,,,
바이젠셀 *,23000.0,1300.0,+5.99%,22950.0,23000.0,83231.0,1886.0,22072.0,2022-05-22,바이젠셀,308080,,-38.0,-37.0,,,,11.53,654.83,1979.98,-393.0,,11108.0,3.32,,,,"2,186  억원",코스닥 433위,9503030,500원  l  1주,9503030,33554,0.35%,N/A  l  N/A,"78,000  l  19,950","N/A  l  -1,347원",N/A  l  N/A,"2.07배  l  11,108원",,81.13배,+1.95%,,,,,,
압타바이오 *,18450.0,1000.0,+5.73%,18400.0,18450.0,194644.0,3547.0,253791.0,2022-05-22,압타바이오,293780,-,-30,-23,-23686.15,-18795.40,-15.99,5.26,1976.55,450.22,-105,-77.23,2778,13.39,,,,"4,114  억원",코스닥 194위,22298866,500원  l  1주,22298866,1034815,4.64%,N/A  l  N/A,"62,100  l  15,950",N/A  l  -482원,N/A  l  N/A,"6.64배  l  2,778원",,81.13배,+1.95%,,,,,,
셀트리온헬스케어 *,57400.0,3100.0,+5.71%,57400.0,57500.0,708671.0,40164.0,564511.0,2022-05-22,셀트리온헬스케어,091990,4157.0,450.0,436.0,10.83,10.48,8.23,85.77,61.51,1345.0,276.0,62.41,13091.0,4.97,,,,9조  781  억원,코스닥 3위,158154885,"1,000원  l  1주",158154885,23819594,15.06%,"4.00매수  l  82,333","123,383  l  53,800",,"43.00배  l  1,340원",,,80.19배,+1.95%,0.44%,"55.14배  l  1,041원","4.38배  l  13,091원",,,
JW중외제약2우B,70000.0,3700.0,+5.58%,66700.0,70000.0,227.0,15.0,64.0,2022-05-22,JW중외제약2우B,001067,1563.0,133.0,94.0,8.52,6.04,2.25,233.65,102.47,264.95,407.0,140.34,8745.0,3.13,,,,72  억원,코스피 1647위,102927,"2,500원  l  1주",102927,248,0.24%,"4.00매수  l  36,333","78,720  l  46,649",N/A  l  -41원,"40.00배  l  1,738원","8.09배  l  8,652원",,81.13배,+1.95%,0.46%,,,,,
휴온스글로벌 *,25650.0,1300.0,+5.34%,25600.0,25650.0,39833.0,1006.0,88563.0,2022-05-22,휴온스글로벌,084110,1592.0,142.0,-126.0,8.92,-7.9,0.84,50.83,104.58,9274.73,-1134.0,121.65,43321.0,0.89,,,,"3,237  억원",코스닥 269위,12621492,500원  l  1주,12621492,1243959,9.86%,N/A  l  N/A,"74,213  l  24,350",81.17배  l  316원,N/A  l  N/A,"0.59배  l  43,321원",,81.13배,+1.95%,1.86%,,,,,
지놈앤컴퍼니 *,20700.0,1000.0,+5.08%,20650.0,20700.0,40664.0,832.0,24145.0,2022-05-22,지놈앤컴퍼니,314130,1.0,-110.0,-113.0,-8256.2,-8469.56,-33.38,21.0,756.14,1023.58,-756.0,-14.22,6593.0,5.26,,,,"2,912  억원",코스닥 308위,14066271,500원  l  1주,14066271,34423,0.24%,N/A  l  N/A,"57,600  l  19,300","N/A  l  -2,439원",N/A  l  N/A,"3.14배  l  6,593원",,81.13배,+1.95%,,,,,,
우진비앤지 *,2315.0,110.0,+4.99%,2310.0,2315.0,1173917.0,2710.0,392307.0,2022-05-22,우진비앤지,018620,122.0,12.0,7.0,9.72,6.01,-2.62,67.25,66.79,113.61,13.0,-73.3,1062.0,1.98,,,,669  억원,코스닥 1221위,28889293,500원  l  1주,28889293,903439,3.13%,N/A  l  N/A,"3,515  l  1,760",,N/A  l  N/A,,,80.19배,+1.95%,,N/A  l  -29원,"2.18배  l  1,062원",,,
