종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원)_x,PER(배)_x,BPS(원)_x,PBR(배)_x,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,현재-최고가,현재/최고가비율,52주차액,52주차액비율,목표주가,투자의견,매수매도,PER,EPS,PER(배)_y,EPS(원)_y,PBR(배)_y,BPS(원)_y,배당수익률%
HLB생명과학 *,17900.0,1500.0,+9.15%,17850.0,17900.0,1861058.0,32448.0,1680209.0,2022-05-22,067630,155.0,-101.0,-646.0,-65.16,-416.31,-18.43,9.81,524.8,402.43,-676.0,-23.93,2578.0,4.83,95498081,95498081,5822144,6.10%,81.13,+1.95%,코스닥,17094,23,23000,9310,-5100.0,0.7782608695652173,13690,2.4704618689581097,,,,,-520원,,-520.0,6.94,2578.0,
엔지켐생명과학 *,22700.0,1400.0,+6.57%,22600.0,22700.0,124769.0,2794.0,107956.0,2022-05-22,183490,65.0,-52.0,-73.0,-80.25,-112.7,-37.87,78.25,188.91,1595.41,-660.0,-21.68,6739.0,8.16,13933768,13933768,1625024,11.66%,81.13,+1.95%,코스닥,3163,276,100375,19150,-77675.0,0.2261519302615193,81225,5.241514360313316,,,,,"-2,532원",,-2532.0,3.37,6739.0,
HK이노엔 *,40450.0,2450.0,+6.45%,40450.0,40500.0,236154.0,9429.0,74531.0,2022-05-22,195940,2094.0,173.0,90.0,8.24,4.32,2.61,59.65,83.63,3948.64,313.0,53.55,39819.0,1.32,28904499,28904499,853773,2.95%,81.13,+1.95%,코스닥,11692,41,80300,37300,-39850.0,0.5037359900373599,43000,2.1528150134048256,53000.0,4.0,매수,41.28배,980원,41.28,980.0,1.02,39819.0,0.79
바이젠셀 *,23000.0,1300.0,+5.99%,22950.0,23000.0,83231.0,1886.0,22072.0,2022-05-22,308080,,-38.0,-37.0,,,,11.53,654.83,1979.98,-393.0,,11108.0,3.32,9503030,9503030,33554,0.35%,81.13,+1.95%,코스닥,2186,433,78000,19950,-55000.0,0.2948717948717949,58050,3.9097744360902253,,,,,"-1,347원",,-1347.0,2.07,11108.0,
압타바이오 *,18450.0,1000.0,+5.73%,18400.0,18450.0,194644.0,3547.0,253791.0,2022-05-22,293780,-,-30,-23,-23686.15,-18795.4,-15.99,5.26,1976.55,450.22,-105.0,-77.23,2778.0,13.39,22298866,22298866,1034815,4.64%,81.13,+1.95%,코스닥,4114,194,62100,15950,-43650.0,0.2971014492753623,46150,3.8934169278996866,,,,,-482원,,-482.0,6.64,2778.0,
셀트리온헬스케어 *,57400.0,3100.0,+5.71%,57400.0,57500.0,708671.0,40164.0,564511.0,2022-05-22,091990,4157.0,450.0,436.0,10.83,10.48,8.23,85.77,61.51,1345.0,276.0,62.41,13091.0,4.97,158154885,158154885,23819594,15.06%,80.19,+1.95%,코스닥,9781,3,123383,53800,-65983.0,0.46521806083496103,69583,2.293364312267658,82333.0,4.0,매수,55.14배,"1,041원",55.14,1041.0,4.38,13091.0,0.44
JW중외제약2우B,70000.0,3700.0,+5.58%,66700.0,70000.0,227.0,15.0,64.0,2022-05-22,001067,1563.0,133.0,94.0,8.52,6.04,2.25,233.65,102.47,264.95,407.0,140.34,8745.0,3.13,102927,102927,248,0.24%,81.13,+1.95%,코스피,72,1647,78720,46649,-8720.0,0.8892276422764228,32071,1.6874959806212353,36333.0,4.0,매수,,-41원,,-41.0,8.09,8652.0,0.46
휴온스글로벌 *,25650.0,1300.0,+5.34%,25600.0,25650.0,39833.0,1006.0,88563.0,2022-05-22,084110,1592.0,142.0,-126.0,8.92,-7.9,0.84,50.83,104.58,9274.73,-1134.0,121.65,43321.0,0.89,12621492,12621492,1243959,9.86%,81.13,+1.95%,코스닥,3237,269,74213,24350,-48563.0,0.34562677697977445,49863,3.0477618069815193,,,,81.17배,316원,81.17,316.0,0.59,43321.0,1.86
지놈앤컴퍼니 *,20700.0,1000.0,+5.08%,20650.0,20700.0,40664.0,832.0,24145.0,2022-05-22,314130,1.0,-110.0,-113.0,-8256.2,-8469.56,-33.38,21.0,756.14,1023.58,-756.0,-14.22,6593.0,5.26,14066271,14066271,34423,0.24%,81.13,+1.95%,코스닥,2912,308,57600,19300,-36900.0,0.359375,38300,2.9844559585492227,,,,,"-2,439원",,-2439.0,3.14,6593.0,
우진비앤지 *,2315.0,110.0,+4.99%,2310.0,2315.0,1173917.0,2710.0,392307.0,2022-05-22,018620,122.0,12.0,7.0,9.72,6.01,-2.62,67.25,66.79,113.61,13.0,-73.3,1062.0,1.98,28889293,28889293,903439,3.13%,80.19,+1.95%,코스닥,669,1221,3515,1760,-1200.0,0.6586059743954481,1755,1.9971590909090908,,,,,-29원,,-29.0,2.18,1062.0,
브릿지바이오테라퓨틱스 *,11750.0,550.0,+4.91%,11650.0,11750.0,92315.0,1069.0,29063.0,2022-05-22,288330,4.0,-85.0,-85.0,-1892.74,-1896.81,-51.39,8.39,1249.23,265.11,-433.0,-10.56,2184.0,6.5,19866425,19866425,252859,1.27%,81.13,+1.95%,코스닥,2334,398,16250,10300,-4500.0,0.7230769230769231,5950,1.5776699029126213,,,,,"-1,345원",,-1345.0,5.38,2184.0,
SK바이오사이언스,127000.0,5500.0,+4.53%,126500.0,127000.0,276331.0,34636.0,228471.0,2022-05-22,302440,871.0,238.0,278.0,27.27,31.93,23.32,22.51,499.34,4154.57,363.0,35.22,21327.0,7.36,76784046,76784046,3361080,4.38%,80.19,+1.95%,코스피,97516,42,362000,115000,-235000.0,0.35082872928176795,247000,3.1478260869565218,187571.0,4.0,매수,28.49배,"4,457원",28.49,4457.0,5.95,21327.0,
메드팩토 *,29150.0,1250.0,+4.48%,29150.0,29200.0,128792.0,3749.0,96379.0,2022-05-22,235980,,-66.0,-75.0,,,,206.24,12895.44,324.58,-359.0,,2089.0,28.05,21047352,21047352,1353671,6.43%,81.13,+1.95%,코스닥,6135,116,80900,26250,-51750.0,0.36032138442521633,54650,3.0819047619047617,48000.0,4.0,매수,,-820원,,-820.0,13.95,2089.0,
차백신연구소 *,7080.0,290.0,+4.27%,7040.0,7080.0,92527.0,648.0,106628.0,2022-05-22,261780,,,,,,,,,,,,,,26429162,26429162,93348,0.35%,81.13,+1.95%,코스닥,1871,515,14900,6580,-7820.0,0.47516778523489933,8320,2.264437689969605,,,,,,,,,,
바이넥스 *,13950.0,550.0,+4.10%,13900.0,13950.0,159578.0,2213.0,232445.0,2022-05-22,053030,353.0,26.0,18.0,7.35,5.24,6.95,51.28,81.82,1071.22,59.0,40.57,5888.0,2.73,31761048,31761048,2202492,6.93%,80.19,+1.95%,코스닥,4431,178,24850,12050,-10900.0,0.5613682092555332,12800,2.0622406639004147,21667.0,4.0,매수,35.23배,396원,35.23,396.0,2.37,5888.0,
동국제약 *,21850.0,850.0,+4.05%,21650.0,21850.0,102712.0,2228.0,91776.0,2022-05-22,086450,1505.0,163.0,179.0,10.82,11.87,11.63,55.73,129.8,1920.03,341.0,19.59,10165.0,2.14,44460000,44460000,8072501,18.16%,81.13,+1.95%,코스닥,9715,62,29500,19000,-7650.0,0.7406779661016949,10500,1.5526315789473684,27667.0,4.0,매수,19.63배,"1,113원",19.63,1113.0,2.15,10165.0,0.82
