종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,시장구분,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2022.09),추정PERlEPS,PBRlBPS (2022.09),배당수익률,동일업종 PER,동일업종 등락률,배당수익률l2021.12,PERlEPS(2021.12),PBRlBPS (2021.12),배당수익률l2022.12,PERlEPS(2022.08),PBRlBPS (2022.08),배당수익률l2021.11
카이노스메드 *,4880.0,1050.0,+27.42%,4870.0,4875.0,4351347.0,21353.0,55714.0,2022-12-20,카이노스메드,284620,KOSDAQ,-,-28,-14,-6497.05,-3232.27,-64.03,23.85,401.64,119.98,-55,-7.59,1277,2.92,,,,"1,361  억원",코스닥 592위,27922396,500원  l  1주,27922396,848458,3.04%,N/A  l  N/A,"14,464  l  3,020",N/A  l  -440원,N/A  l  N/A,"3.82배  l  1,277원",,86.35배,-1.39%,,,,,,,
위더스제약 *,9250.0,1330.0,+16.79%,9260.0,9280.0,6290079.0,58089.0,18884.0,2022-12-20,위더스제약,330350,KOSDAQ,170.0,23.0,11.0,13.48,6.66,6.62,49.54,123.45,3072.69,86.0,15.32,6397.0,0.98,,,,"1,278  억원",코스닥 675위,13192778,200원  l  1주,13192778,81617,0.62%,N/A  l  N/A,"16,100  l  5,960",23.58배  l  411원,N/A  l  N/A,"1.51배  l  6,397원",,86.35배,-1.39%,0.50%,,,,,,
휴럼 *,1315.0,100.0,+8.23%,1320.0,1325.0,19215503.0,27731.0,703004.0,2022-12-20,휴럼,353190,KOSDAQ,470.0,19.0,16.0,3.95,3.38,11.78,37.66,221.78,2164.92,174.0,6.92,11344.0,0.76,,,,966  억원,코스닥 832위,9200224,500원  l  1주,9200224,85674,0.93%,N/A  l  N/A,"22,500  l  7,770","8.46배  l  1,241원",N/A  l  N/A,"0.93배  l  11,344원",,86.35배,-1.39%,2.38%,,,,,,
뉴트리 *,10450.0,560.0,+5.66%,10500.0,10550.0,431705.0,4576.0,98305.0,2022-12-20,뉴트리,270870,KOSDAQ,254.0,15.0,11.0,5.91,4.26,,9.71,502.61,6221.53,112.0,,6319.0,1.04,,,,"1,243  억원",코스닥 663위,14155000,100원  l  1주,14155000,104743,0.74%,N/A  l  N/A,"15,300  l  6,010",16.82배  l  522원,N/A  l  N/A,"1.39배  l  6,319원",,86.35배,-1.42%,,,,,,,
프롬바이오 *,8760.0,440.0,+5.29%,8700.0,8710.0,2042374.0,18063.0,444412.0,2022-12-20,프롬바이오,377220,KOSDAQ,581.0,42.0,38.0,7.19,6.47,16.33,52.84,86.58,1780.91,209.0,8.01,10613.0,1.08,,,,"1,941  억원",코스닥 402위,18754848,500원  l  1주,18754848,328682,1.75%,N/A  l  N/A,"22,822  l  9,700","7.20배  l  1,437원",N/A  l  N/A,"0.98배  l  10,613원",,86.35배,-1.39%,1.50%,,,,,,
노바렉스 *,10350.0,250.0,+2.48%,10350.0,10400.0,370009.0,3854.0,89498.0,2022-12-20,노바렉스,194700,KOSDAQ,319.0,78.0,62.0,24.61,19.46,18.7,53.94,158.88,3428.03,622.0,7.52,15422.0,1.21,,,,"2,473  억원",코스닥 293위,9971194,500원  l  1주,9971194,491829,4.93%,"4.00매수  l  33,000","25,750  l  17,850","10.37배  l  2,391원",N/A  l  N/A,"1.61배  l  15,422원",,86.35배,-1.39%,1.61%,,,,,,
휴메딕스 *,24850.0,600.0,+2.47%,24950.0,25000.0,79552.0,1997.0,20590.0,2022-12-20,휴메딕스,200670,KOSDAQ,279.0,29.0,34.0,10.41,12.02,7.78,62.81,76.15,957.2,189.0,16.29,5264.0,1.23,,,,"1,552  억원",코스닥 509위,17752276,500원  l  1주,17752276,215773,1.22%,N/A  l  N/A,"11,100  l  5,910",21.96배  l  398원,N/A  l  N/A,"1.66배  l  5,264원",,86.35배,-1.39%,0.92%,,,,,,
녹십자웰빙 *,8730.0,200.0,+2.34%,8800.0,8810.0,4501573.0,42519.0,249794.0,2022-12-20,녹십자웰빙,234690,KOSDAQ,244.0,-43.0,-34.0,-17.63,-13.94,-12.96,51.13,134.86,610.22,-97.0,-32.81,4072.0,3.5,,,,"3,400  억원",코스닥 188위,31480573,500원  l  1주,31480573,1599722,5.08%,N/A  l  N/A,"16,050  l  7,450",N/A  l  -372원,N/A  l  N/A,"2.65배  l  4,072원",,86.35배,-1.39%,,,,,,,
HLB테라퓨틱스 *,10850.0,100.0,+0.93%,10850.0,10900.0,119357.0,1306.0,191773.0,2022-12-20,HLB테라퓨틱스,115450,KOSDAQ,1676.0,189.0,180.0,11.26,10.76,11.53,96.69,68.26,7311.42,1312.0,7.83,39528.0,0.81,,,,"3,899  억원",코스피 376위,11569113,500원  l  1주,11569113,1208208,10.44%,"4.00매수  l  52,000","44,750  l  29,400","8.26배  l  4,080원","8.00배  l  4,261원","0.85배  l  39,528원",,86.35배,-1.34%,1.48%,,,,,,
서흥,33650.0,300.0,+0.90%,33800.0,33850.0,17661.0,596.0,9208.0,2022-12-20,서흥,008490,KOSPI,4315.0,-45.0,55.0,-1.05,1.28,3.91,24.7,195.2,2609.51,101.0,54.11,28132.0,1.93,,,,687  억원,코스피 929위,1180940,"1,000원  l  1주",1180940,0,0.00%,"4.00매수  l  76,450","72,800  l  51,000","58.03배  l  1,003원","52.00배  l  1,112원","2.07배  l  28,132원",,86.35배,-1.39%,0.70%,,,,,,
