종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목코드,시장구분,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원)_x,PER(배)_x,BPS(원)_x,PBR(배)_x,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,목표주가,투자의견,매수매도,PER,EPS,PER(배)_y,EPS(원)_y,PBR(배)_y,BPS(원)_y,배당수익률%
카이노스메드 *,4880.0,1050.0,+27.42%,4870.0,4875.0,4351347.0,21353.0,55714.0,2022-12-20,284620,KOSDAQ,-,-28,-14,-6497.05,-3232.27,-64.03,23.85,401.64,119.98,-55.0,-7.59,1277.0,2.92,27922396,27922396,848458,3.04%,86.35,-1.39%,코스닥,1361,592,14464,3020,11444,4.789403973509934,-9584.0,0.33738938053097345,N/A,,,,-440원,,-440.0,3.82,1277.0,
위더스제약 *,9250.0,1330.0,+16.79%,9260.0,9280.0,6290079.0,58089.0,18884.0,2022-12-20,330350,KOSDAQ,170.0,23.0,11.0,13.48,6.66,6.62,49.54,123.45,3072.69,86.0,15.32,6397.0,0.98,13192778,13192778,81617,0.62%,86.35,-1.39%,코스닥,1278,675,16100,5960,10140,2.7013422818791946,-6850.0,0.5745341614906833,N/A,,,23.58배,411원,23.58,411.0,1.51,6397.0,0.5
휴럼 *,1315.0,100.0,+8.23%,1320.0,1325.0,19215503.0,27731.0,703004.0,2022-12-20,353190,KOSDAQ,470.0,19.0,16.0,3.95,3.38,11.78,37.66,221.78,2164.92,174.0,6.92,11344.0,0.76,9200224,9200224,85674,0.93%,86.35,-1.39%,코스닥,966,832,22500,7770,14730,2.8957528957528957,-21185.0,0.058444444444444445,N/A,,,8.46배,"1,241원",8.46,1241.0,0.93,11344.0,2.38
뉴트리 *,10450.0,560.0,+5.66%,10500.0,10550.0,431705.0,4576.0,98305.0,2022-12-20,270870,KOSDAQ,254.0,15.0,11.0,5.91,4.26,,9.71,502.61,6221.53,112.0,,6319.0,1.04,14155000,14155000,104743,0.74%,86.35,-1.42%,코스닥,1243,663,15300,6010,9290,2.545757071547421,-4850.0,0.6830065359477124,N/A,,,16.82배,522원,16.82,522.0,1.39,6319.0,
프롬바이오 *,8760.0,440.0,+5.29%,8700.0,8710.0,2042374.0,18063.0,444412.0,2022-12-20,377220,KOSDAQ,581.0,42.0,38.0,7.19,6.47,16.33,52.84,86.58,1780.91,209.0,8.01,10613.0,1.08,18754848,18754848,328682,1.75%,86.35,-1.39%,코스닥,1941,402,22822,9700,13122,2.352783505154639,-14062.0,0.3838401542371396,N/A,,,7.20배,"1,437원",7.2,1437.0,0.98,10613.0,1.5
노바렉스 *,10350.0,250.0,+2.48%,10350.0,10400.0,370009.0,3854.0,89498.0,2022-12-20,194700,KOSDAQ,319.0,78.0,62.0,24.61,19.46,18.7,53.94,158.88,3428.03,622.0,7.52,15422.0,1.21,9971194,9971194,491829,4.93%,86.35,-1.39%,코스닥,2473,293,25750,17850,7900,1.442577030812325,-15400.0,0.40194174757281553,"33,000",4.0,매수,10.37배,"2,391원",10.37,2391.0,1.61,15422.0,1.61
휴메딕스 *,24850.0,600.0,+2.47%,24950.0,25000.0,79552.0,1997.0,20590.0,2022-12-20,200670,KOSDAQ,279.0,29.0,34.0,10.41,12.02,7.78,62.81,76.15,957.2,189.0,16.29,5264.0,1.23,17752276,17752276,215773,1.22%,86.35,-1.39%,코스닥,1552,509,11100,5910,5190,1.8781725888324874,13750.0,2.2387387387387387,N/A,,,21.96배,398원,21.96,398.0,1.66,5264.0,0.92
녹십자웰빙 *,8730.0,200.0,+2.34%,8800.0,8810.0,4501573.0,42519.0,249794.0,2022-12-20,234690,KOSDAQ,244.0,-43.0,-34.0,-17.63,-13.94,-12.96,51.13,134.86,610.22,-97.0,-32.81,4072.0,3.5,31480573,31480573,1599722,5.08%,86.35,-1.39%,코스닥,3400,188,16050,7450,8600,2.1543624161073827,-7320.0,0.5439252336448598,N/A,,,,-372원,,-372.0,2.65,4072.0,
HLB테라퓨틱스 *,10850.0,100.0,+0.93%,10850.0,10900.0,119357.0,1306.0,191773.0,2022-12-20,115450,KOSDAQ,1676.0,189.0,180.0,11.26,10.76,11.53,96.69,68.26,7311.42,1312.0,7.83,39528.0,0.81,11569113,11569113,1208208,10.44%,86.35,-1.34%,코스닥,3899,376,44750,29400,15350,1.522108843537415,-33900.0,0.2424581005586592,"52,000",4.0,매수,8.26배,"4,080원",8.26,4080.0,0.85,39528.0,1.48
서흥,33650.0,300.0,+0.90%,33800.0,33850.0,17661.0,596.0,9208.0,2022-12-20,008490,KOSPI,4315.0,-45.0,55.0,-1.05,1.28,3.91,24.7,195.2,2609.51,101.0,54.11,28132.0,1.93,1180940,1180940,0,0.00%,86.35,-1.39%,코스피,687,929,72800,51000,21800,1.427450980392157,-39150.0,0.46222527472527475,"76,450",4.0,매수,58.03배,"1,003원",58.03,1003.0,2.07,28132.0,0.7
