거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"127,000",,1993,2020,,,,,잠실동,신동아예지움,10,6,132,,307-2,11710,10,20.11.20,O
"222,800",,1978,2020,,,,,잠실동,주공아파트 5단지,10,7,76.5,,27,11710,7,,
"216,000",,1978,2020,,,,,잠실동,주공아파트 5단지,10,14,76.5,,27,11710,12,,
"235,000",,1981,2020,,,,,잠실동,우성아파트,10,17,131.08,,101-1,11710,2,,
"222,500",,2008,2020,,,,,잠실동,리센츠,10,17,84.99,,22,11710,12,,
"204,000",,2007,2020,,,,,잠실동,트리지움,10,21,84.97,,35,11710,17,,
"208,000",,2008,2020,,,,,잠실동,리센츠,10,22,84.99,,22,11710,28,,
"218,000",,2008,2020,,,,,잠실동,잠실엘스,10,22,84.8,,19,11710,14,,
"200,000",,2005,2020,,,,,잠실동,갤러리아팰리스,10,22,122.989,,40,11710,32,,
"203,000",,2006,2020,,,,,잠실동,레이크팰리스,10,22,84.82,,44,11710,22,,
"205,000",,2005,2020,,,,,잠실동,갤러리아팰리스,10,23,122.989,,40,11710,23,,
"390,000",,1986,2020,,,,,잠실동,아시아선수촌아파트,10,26,178.325,,86,11710,13,,
"109,000",,2008,2020,,,,,잠실동,리센츠,10,26,27.68,,22,11710,23,,
"276,000",,1986,2020,,,,,잠실동,아시아선수촌아파트,10,30,99.385,,86,11710,17,,
"233,000",,2005,2020,,,,,잠실동,갤러리아팰리스,10,30,151.999,,40,11710,39,,
"178,500",,1980,2020,,,,,신천동,미성,10,5,55.62,,17-6,11710,7,,
"190,000",,2008,2020,,,,,신천동,파크리오,10,6,84.9,,17,11710,18,,
"190,000",,2008,2020,,,,,신천동,파크리오,10,9,84.9,,17,11710,30,,
"175,000",,2008,2020,,,,,신천동,파크리오,10,9,59.95,,17,11710,24,,
"94,000",,1988,2020,,,,,신천동,한신잠실코아,10,9,52.51,,11-9,11710,11,,
"188,000",,2005,2020,,,,,신천동,롯데캐슬골드,10,9,166.7,,7-18,11710,12,,
"180,000",,2008,2020,,,,,신천동,잠실더샵스타파크,10,12,186.46,,7-14,11710,13,,
"195,500",,2008,2020,,,,,신천동,파크리오,10,12,84.79,,17,11710,13,,
"193,000",,1979,2020,,,,,신천동,장미1,10,12,82.45,,7,11710,8,,
"175,000",,2008,2020,,,,,신천동,파크리오,10,13,59.95,,17,11710,7,,
"210,000",,2005,2020,,,,,신천동,롯데캐슬골드,10,14,187.65,,7-18,11710,29,20.10.15,O
"205,000",,2005,2020,,,,,신천동,롯데캐슬골드,10,14,187.65,,7-18,11710,29,,
"170,000",,2008,2020,,,,,신천동,파크리오,10,16,59.95,,17,11710,11,,
"81,000",,1988,2020,,,,,신천동,한신잠실코아,10,17,41.99,,11-9,11710,12,,
"250,000",,2005,2020,,,,,신천동,롯데캐슬골드,10,17,193.81,,7-18,11710,31,,
"130,000",,1996,2020,,,,,신천동,현대타워,10,18,173.7,,7-28,11710,17,,
"193,500",,2008,2020,,,,,신천동,파크리오,10,19,84.9,,17,11710,17,,
"269,000",,1979,2020,,,,,신천동,장미1,10,23,155.22,,7,11710,11,,
"198,000",,2008,2020,,,,,신천동,파크리오,10,23,84.9,,17,11710,21,,
"200,000",,2008,2020,,,,,신천동,잠실더샵스타파크,10,24,208.28,,7-14,11710,23,,
"204,000",,1979,2020,,,,,신천동,장미2,10,24,99,,11,11710,7,,
"172,000",,1979,2020,,,,,신천동,장미1,10,24,71.2,,7,11710,7,,
"195,000",,2008,2020,,,,,신천동,파크리오,10,24,84.9,,17,11710,9,,
"89,500",,1988,2020,,,,,신천동,한신잠실코아,10,26,50.76,,11-9,11710,14,,
"193,500",,2008,2020,,,,,신천동,파크리오,10,26,84.9,,17,11710,16,,
"185,000",,2013,2020,,,,,신천동,잠실푸르지오월드마크,10,27,119.58,,11-4,11710,19,,
"225,000",,1979,2020,,,,,신천동,장미1,10,27,120,,7,11710,8,,
"105,000",,1999,2020,,,,,풍납동,현대리버빌2지구,10,3,84.97,,261,11710,5,,
"59,000",,1986,2020,,,,,풍납동,토성현대,10,4,49.14,,251-2,11710,8,,
"110,000",,1995,2020,,,,,풍납동,동아한가람1,10,5,84.38,,506,11710,9,,
"83,000",,1998,2020,,,,,풍납동,대아(제101상가동),10,7,84.99,,163,11710,7,,
"96,000",,1995,2020,,,,,풍납동,동아한가람1,10,7,84.38,,506,11710,3,,
"80,000",,1999,2020,,,,,풍납동,대동1,10,8,68.06,,172,11710,5,,
"93,000",,1995,2020,,,,,풍납동,한강극동,10,9,59.26,,508,11710,6,,
"114,000",,2006,2020,,,,,풍납동,송파현대힐스테이트,10,10,84.99,,511,11710,5,,
"85,000",,1999,2020,,,,,풍납동,현대리버빌2지구,10,12,59.4,,261,11710,4,,
"87,000",,1999,2020,,,,,풍납동,현대리버빌2지구,10,14,59.4,,261,11710,10,,
"86,000",,1995,2020,,,,,풍납동,한강극동,10,16,59.26,,508,11710,9,20.11.26,O
"86,000",,1995,2020,,,,,풍납동,한강극동,10,16,59.26,,508,11710,9,,
"102,000",,1999,2020,,,,,풍납동,현대리버빌2지구,10,17,84.97,,261,11710,4,,
"120,000",,1995,2020,,,,,풍납동,현대1,10,19,84,,413-1,11710,9,,
"116,000",,1999,2020,,,,,풍납동,현대리버빌2지구,10,19,84.97,,261,11710,17,,
"104,500",,1995,2020,,,,,풍납동,동아한가람1,10,19,84.38,,506,11710,7,,
"99,000",,1998,2020,,,,,풍납동,씨티극동1,10,21,84.22,,509,11710,4,,
"69,700",,1999,2020,,,,,풍납동,현대리버빌1지구,10,24,43.2,,260,11710,11,,
"115,000",,1995,2020,,,,,풍납동,현대1,10,24,83.02,,413-1,11710,2,,
"74,500",,1996,2020,,,,,풍납동,갑을,10,29,59.4,,214-6,11710,8,,
"119,000",,1995,2020,,,,,풍납동,현대1,10,30,83.02,,413-1,11710,5,,
"93,000",,1998,2020,,,,,풍납동,대아(제101상가동),10,30,99.98,,163,11710,3,,
"65,000",,2010,2020,,,,,풍납동,금강캐스빌,10,31,84.09,,513,11710,3,,
"171,000",,1984,2020,,,,,송파동,2차한양아파트,10,8,108.68,,151,11710,11,,
"117,000",,1992,2020,,,,,송파동,성지,10,10,66.18,,171,11710,13,,
"162,000",,2001,2020,,,,,송파동,송파삼성래미안아파트,10,17,126.4,,162,11710,17,,
"125,000",,2012,2020,,,,,송파동,래미안송파파인탑,10,20,53.36,,243,11710,18,,
"117,000",,1985,2020,,,,,송파동,미성맨션,10,20,58.98,,161,11710,4,,
"166,000",,1984,2020,,,,,송파동,가락삼익맨숀,10,23,108.338,,166,11710,10,,
"135,000",,2012,2020,,,,,송파동,래미안송파파인탑,10,23,53.59,,243,11710,20,,
"140,000",,2012,2020,,,,,송파동,래미안송파파인탑,10,23,64.66,,243,11710,17,,
"131,000",,2012,2020,,,,,송파동,래미안송파파인탑,10,24,53.36,,243,11710,19,,
"144,500",,2012,2020,,,,,송파동,래미안송파파인탑,10,24,64.66,,243,11710,15,,
"50,000",,2003,2020,,,,,송파동,갑오빌라트,10,25,76.68,,14,11710,2,,
"48,000",,2004,2020,,,,,송파동,경일,10,28,61.67,,139-4,11710,5,,
"66,000",,2016,2020,,,,,삼전동,하이파크아파트,10,5,51.2,,38-12,11710,7,,
"49,200",,2003,2020,,,,,삼전동,동신,10,8,79.98,,166-10,11710,5,,
"99,000",,1989,2020,,,,,삼전동,현대1,10,17,82,,39,11710,2,,
"102,500",,1989,2020,,,,,삼전동,현대1,10,22,82,,39,11710,9,,
"68,000",,2016,2020,,,,,삼전동,하이파크아파트,10,26,51.2,,38-12,11710,13,,
"67,500",,2016,2020,,,,,삼전동,하이파크아파트,10,31,51.2,,38-12,11710,12,,
"114,500",,1997,2020,,,,,가락동,가락금호아파트,10,9,59.91,,95-1,11710,5,,
"134,000",,1997,2020,,,,,가락동,가락금호아파트,10,10,85,,95-1,11710,17,,
"105,000",,2006,2020,,,,,가락동,성원상떼빌,10,11,128.71,,80,11710,10,,
"75,000",,1998,2020,,,,,가락동,동부썬빌,10,11,142.388,,99-6,11710,15,,
"98,500",,2003,2020,,,,,가락동,sk파크타워,10,12,108.82,,166-2,11710,17,,
"97,500",,1991,2020,,,,,가락동,현대7,10,12,84.65,,171-5,11710,11,,
"64,000",,2004,2020,,,,,가락동,동일씨티빌,10,13,84.84,,16-12,11710,4,,
"115,500",,1997,2020,,,,,가락동,가락금호아파트,10,14,59.91,,95-1,11710,5,,
"144,500",,1997,2020,,,,,가락동,가락금호아파트,10,15,85,,95-1,11710,13,,
"187,000",,2018,2020,,,,,가락동,헬리오시티,10,16,84.98,,913,11710,15,,
"174,500",,2007,2020,,,,,가락동,래미안파크팰리스,10,16,114.756,,165,11710,13,,
