"행정구역(시군구)별","성별","연령별","항목","단위","2023 년",
"전국","계","계","주민등록연앙인구[명]","명","51145884.5",
"전국","계","0 - 4세","주민등록연앙인구[명]","명","1380804.5",
"전국","계","5 - 9세","주민등록연앙인구[명]","명","2050235",
"전국","계","10 - 14세","주민등록연앙인구[명]","명","2341519",
"전국","계","15 - 19세","주민등록연앙인구[명]","명","2329282",
"전국","계","20 - 24세","주민등록연앙인구[명]","명","2861651.5",
"전국","계","25 - 29세","주민등록연앙인구[명]","명","3428923.5",
"전국","계","30 - 34세","주민등록연앙인구[명]","명","3345284",
"전국","계","35 - 39세","주민등록연앙인구[명]","명","3221366",
"전국","계","40 - 44세","주민등록연앙인구[명]","명","4013266.5",
"전국","계","45 - 49세","주민등록연앙인구[명]","명","3932778.5",
"전국","계","50 - 54세","주민등록연앙인구[명]","명","4488255.5",
"전국","계","55 - 59세","주민등록연앙인구[명]","명","4100065.5",
"전국","계","60 - 64세","주민등록연앙인구[명]","명","4190183.5",
"전국","계","65 - 69세","주민등록연앙인구[명]","명","3282269.5",
"전국","계","70 - 74세","주민등록연앙인구[명]","명","2229036.5",
"전국","계","75 - 79세","주민등록연앙인구[명]","명","1653502.5",
"전국","계","80세 이상","주민등록연앙인구[명]","명","2297461",
"전국","계","80 - 84세","주민등록연앙인구[명]","명","1313968.5",
"전국","계","85세 이상","주민등록연앙인구[명]","명","983492.5",
"전국","계","85 - 89세","주민등록연앙인구[명]","명","688566",
"전국","계","90 - 94세","주민등록연앙인구[명]","명","236889.5",
"전국","계","95 - 99세","주민등록연앙인구[명]","명","50293",
"전국","계","100세 이상","주민등록연앙인구[명]","명","7744",
"전국","남자","계","주민등록연앙인구[명]","명","25469181",
"전국","남자","0 - 4세","주민등록연앙인구[명]","명","707453",
"전국","남자","5 - 9세","주민등록연앙인구[명]","명","1050856.5",
"전국","남자","10 - 14세","주민등록연앙인구[명]","명","1203241",
"전국","남자","15 - 19세","주민등록연앙인구[명]","명","1202053",
"전국","남자","20 - 24세","주민등록연앙인구[명]","명","1489291.5",
"전국","남자","25 - 29세","주민등록연앙인구[명]","명","1800766",
"전국","남자","30 - 34세","주민등록연앙인구[명]","명","1754212",
"전국","남자","35 - 39세","주민등록연앙인구[명]","명","1654036",
"전국","남자","40 - 44세","주민등록연앙인구[명]","명","2041798",
"전국","남자","45 - 49세","주민등록연앙인구[명]","명","1991972",
"전국","남자","50 - 54세","주민등록연앙인구[명]","명","2269130.5",
"전국","남자","55 - 59세","주민등록연앙인구[명]","명","2060959",
"전국","남자","60 - 64세","주민등록연앙인구[명]","명","2077449",
"전국","남자","65 - 69세","주민등록연앙인구[명]","명","1594516.5",
"전국","남자","70 - 74세","주민등록연앙인구[명]","명","1045482",
"전국","남자","75 - 79세","주민등록연앙인구[명]","명","730938.5",
"전국","남자","80세 이상","주민등록연앙인구[명]","명","795026.5",
"전국","남자","80 - 84세","주민등록연앙인구[명]","명","509861.5",
"전국","남자","85세 이상","주민등록연앙인구[명]","명","285165",
"전국","남자","85 - 89세","주민등록연앙인구[명]","명","218927.5",
"전국","남자","90 - 94세","주민등록연앙인구[명]","명","56035",
"전국","남자","95 - 99세","주민등록연앙인구[명]","명","8987.5",
"전국","남자","100세 이상","주민등록연앙인구[명]","명","1215",
"전국","여자","계","주민등록연앙인구[명]","명","25676703.5",
"전국","여자","0 - 4세","주민등록연앙인구[명]","명","673351.5",
"전국","여자","5 - 9세","주민등록연앙인구[명]","명","999378.5",
"전국","여자","10 - 14세","주민등록연앙인구[명]","명","1138278",
"전국","여자","15 - 19세","주민등록연앙인구[명]","명","1127229",
"전국","여자","20 - 24세","주민등록연앙인구[명]","명","1372360",
"전국","여자","25 - 29세","주민등록연앙인구[명]","명","1628157.5",
"전국","여자","30 - 34세","주민등록연앙인구[명]","명","1591072",
"전국","여자","35 - 39세","주민등록연앙인구[명]","명","1567330",
"전국","여자","40 - 44세","주민등록연앙인구[명]","명","1971468.5",
"전국","여자","45 - 49세","주민등록연앙인구[명]","명","1940806.5",
"전국","여자","50 - 54세","주민등록연앙인구[명]","명","2219125",
"전국","여자","55 - 59세","주민등록연앙인구[명]","명","2039106.5",
"전국","여자","60 - 64세","주민등록연앙인구[명]","명","2112734.5",
"전국","여자","65 - 69세","주민등록연앙인구[명]","명","1687753",
"전국","여자","70 - 74세","주민등록연앙인구[명]","명","1183554.5",
"전국","여자","75 - 79세","주민등록연앙인구[명]","명","922564",
"전국","여자","80세 이상","주민등록연앙인구[명]","명","1502434.5",
"전국","여자","80 - 84세","주민등록연앙인구[명]","명","804107",
"전국","여자","85세 이상","주민등록연앙인구[명]","명","698327.5",
"전국","여자","85 - 89세","주민등록연앙인구[명]","명","469638.5",
"전국","여자","90 - 94세","주민등록연앙인구[명]","명","180854.5",
"전국","여자","95 - 99세","주민등록연앙인구[명]","명","41305.5",
"전국","여자","100세 이상","주민등록연앙인구[명]","명","6529",
"서울특별시","계","계","주민등록연앙인구[명]","명","9334933.5",
"서울특별시","계","0 - 4세","주민등록연앙인구[명]","명","220265.5",
"서울특별시","계","5 - 9세","주민등록연앙인구[명]","명","308678",
"서울특별시","계","10 - 14세","주민등록연앙인구[명]","명","357808.5",
"서울특별시","계","15 - 19세","주민등록연앙인구[명]","명","381243",
"서울특별시","계","20 - 24세","주민등록연앙인구[명]","명","564693.5",
"서울특별시","계","25 - 29세","주민등록연앙인구[명]","명","802843.5",
"서울특별시","계","30 - 34세","주민등록연앙인구[명]","명","764498.5",
"서울특별시","계","35 - 39세","주민등록연앙인구[명]","명","653747",
"서울특별시","계","40 - 44세","주민등록연앙인구[명]","명","727185.5",
"서울특별시","계","45 - 49세","주민등록연앙인구[명]","명","693374.5",
"서울특별시","계","50 - 54세","주민등록연앙인구[명]","명","787553",
"서울특별시","계","55 - 59세","주민등록연앙인구[명]","명","687236",
"서울특별시","계","60 - 64세","주민등록연앙인구[명]","명","703236",
"서울특별시","계","65 - 69세","주민등록연앙인구[명]","명","588956",
"서울특별시","계","70 - 74세","주민등록연앙인구[명]","명","409781",
"서울특별시","계","75 - 79세","주민등록연앙인구[명]","명","311120.5",
"서울특별시","계","80세 이상","주민등록연앙인구[명]","명","372713.5",
"서울특별시","계","80 - 84세","주민등록연앙인구[명]","명","222881.5",
"서울특별시","계","85세 이상","주민등록연앙인구[명]","명","149832",
"서울특별시","계","85 - 89세","주민등록연앙인구[명]","명","105271",
"서울특별시","계","90 - 94세","주민등록연앙인구[명]","명","35320.5",
"서울특별시","계","95 - 99세","주민등록연앙인구[명]","명","7997",
"서울특별시","계","100세 이상","주민등록연앙인구[명]","명","1243.5",
"서울특별시","남자","계","주민등록연앙인구[명]","명","4517716.5",
"서울특별시","남자","0 - 4세","주민등록연앙인구[명]","명","113547",
"서울특별시","남자","5 - 9세","주민등록연앙인구[명]","명","157926.5",
"서울특별시","남자","10 - 14세","주민등록연앙인구[명]","명","183789.5",
"서울특별시","남자","15 - 19세","주민등록연앙인구[명]","명","194709",
"서울특별시","남자","20 - 24세","주민등록연앙인구[명]","명","265562.5",
"서울특별시","남자","25 - 29세","주민등록연앙인구[명]","명","385727",
"서울특별시","남자","30 - 34세","주민등록연앙인구[명]","명","383059.5",
"서울특별시","남자","35 - 39세","주민등록연앙인구[명]","명","326054.5",
"서울특별시","남자","40 - 44세","주민등록연앙인구[명]","명","360869",
"서울특별시","남자","45 - 49세","주민등록연앙인구[명]","명","341614.5",
"서울특별시","남자","50 - 54세","주민등록연앙인구[명]","명","388467",
"서울특별시","남자","55 - 59세","주민등록연앙인구[명]","명","335669",
"서울특별시","남자","60 - 64세","주민등록연앙인구[명]","명","335890",
"서울특별시","남자","65 - 69세","주민등록연앙인구[명]","명","274771",
"서울특별시","남자","70 - 74세","주민등록연앙인구[명]","명","188076",
"서울특별시","남자","75 - 79세","주민등록연앙인구[명]","명","138414.5",
"서울특별시","남자","80세 이상","주민등록연앙인구[명]","명","143570",
"서울특별시","남자","80 - 84세","주민등록연앙인구[명]","명","94385",
"서울특별시","남자","85세 이상","주민등록연앙인구[명]","명","49185",
"서울특별시","남자","85 - 89세","주민등록연앙인구[명]","명","37602.5",
"서울특별시","남자","90 - 94세","주민등록연앙인구[명]","명","9638",
"서울특별시","남자","95 - 99세","주민등록연앙인구[명]","명","1687.5",
"서울특별시","남자","100세 이상","주민등록연앙인구[명]","명","257",
"서울특별시","여자","계","주민등록연앙인구[명]","명","4817217",
"서울특별시","여자","0 - 4세","주민등록연앙인구[명]","명","106718.5",
"서울특별시","여자","5 - 9세","주민등록연앙인구[명]","명","150751.5",
"서울특별시","여자","10 - 14세","주민등록연앙인구[명]","명","174019",
"서울특별시","여자","15 - 19세","주민등록연앙인구[명]","명","186534",
"서울특별시","여자","20 - 24세","주민등록연앙인구[명]","명","299131",
"서울특별시","여자","25 - 29세","주민등록연앙인구[명]","명","417116.5",
"서울특별시","여자","30 - 34세","주민등록연앙인구[명]","명","381439",
"서울특별시","여자","35 - 39세","주민등록연앙인구[명]","명","327692.5",
"서울특별시","여자","40 - 44세","주민등록연앙인구[명]","명","366316.5",
"서울특별시","여자","45 - 49세","주민등록연앙인구[명]","명","351760",
"서울특별시","여자","50 - 54세","주민등록연앙인구[명]","명","399086",
"서울특별시","여자","55 - 59세","주민등록연앙인구[명]","명","351567",
"서울특별시","여자","60 - 64세","주민등록연앙인구[명]","명","367346",
"서울특별시","여자","65 - 69세","주민등록연앙인구[명]","명","314185",
"서울특별시","여자","70 - 74세","주민등록연앙인구[명]","명","221705",
"서울특별시","여자","75 - 79세","주민등록연앙인구[명]","명","172706",
"서울특별시","여자","80세 이상","주민등록연앙인구[명]","명","229143.5",
"서울특별시","여자","80 - 84세","주민등록연앙인구[명]","명","128496.5",
"서울특별시","여자","85세 이상","주민등록연앙인구[명]","명","100647",
"서울특별시","여자","85 - 89세","주민등록연앙인구[명]","명","67668.5",
"서울특별시","여자","90 - 94세","주민등록연앙인구[명]","명","25682.5",
"서울특별시","여자","95 - 99세","주민등록연앙인구[명]","명","6309.5",
"서울특별시","여자","100세 이상","주민등록연앙인구[명]","명","986.5",
"종로구","계","계","주민등록연앙인구[명]","명","138501",
"종로구","계","0 - 4세","주민등록연앙인구[명]","명","2427",
"종로구","계","5 - 9세","주민등록연앙인구[명]","명","3724",
"종로구","계","10 - 14세","주민등록연앙인구[명]","명","4610",
"종로구","계","15 - 19세","주민등록연앙인구[명]","명","5245",
"종로구","계","20 - 24세","주민등록연앙인구[명]","명","9281",
"종로구","계","25 - 29세","주민등록연앙인구[명]","명","12459.5",
"종로구","계","30 - 34세","주민등록연앙인구[명]","명","10634",
"종로구","계","35 - 39세","주민등록연앙인구[명]","명","8523.5",
"종로구","계","40 - 44세","주민등록연앙인구[명]","명","9657",
"종로구","계","45 - 49세","주민등록연앙인구[명]","명","9620.5",
"종로구","계","50 - 54세","주민등록연앙인구[명]","명","12303",
"종로구","계","55 - 59세","주민등록연앙인구[명]","명","11237",
"종로구","계","60 - 64세","주민등록연앙인구[명]","명","11118",
"종로구","계","65 - 69세","주민등록연앙인구[명]","명","8955.5",
"종로구","계","70 - 74세","주민등록연앙인구[명]","명","6105",
"종로구","계","75 - 79세","주민등록연앙인구[명]","명","5180.5",
"종로구","계","80세 이상","주민등록연앙인구[명]","명","7420.5",
"종로구","계","80 - 84세","주민등록연앙인구[명]","명","4293",
"종로구","계","85세 이상","주민등록연앙인구[명]","명","3127.5",
