,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
8605,스타벅스,춘천명동점,음식,커피점/카페,강원도,춘천시,약사명동,37.8800367182363,127.727566445736
10392,스타벅스,원주터미널점,음식,커피점/카페,강원도,원주시,무실동,37.343851860227,127.931103954128
14450,스타벅스,춘천온의점,음식,커피점/카페,강원도,춘천시,강남동,37.8675326471007,127.72081567455
16562,스타벅스,춘천구봉산R점,음식,커피점/카페,강원도,춘천시,동면,37.8884101606584,127.775945317086
18068,스타벅스,속초DT점,음식,커피점/카페,강원도,속초시,조양동,38.1899069273633,128.584417728286
19019,스타벅스,원주반곡DT점,음식,커피점/카페,강원도,원주시,반곡관설동,37.3198267998095,127.97171064939
19303,스타벅스,강릉송정DT점,음식,커피점/카페,강원도,강릉시,송정동,37.771919740036,128.922960209512
20748,스타벅스,원주단구점,음식,커피점/카페,강원도,원주시,단구동,37.3304614888291,127.949284286612
26226,스타벅스,,음식,커피점/카페,강원도,인제군,기린면,37.9570322610523,128.317843444691
26275,스타벅스,용평리조트점,음식,커피점/카페,강원도,평창군,대관령면,37.6509528563083,128.705541811034
26682,스타벅스,휘닉스파크점,음식,커피점/카페,강원도,평창군,봉평면,37.5737498533882,128.309595918605
27052,스타벅스,,음식,커피점/카페,강원도,원주시,부론면,37.2089529546107,127.749837619204
28010,스타벅스,원주무실점,음식,커피점/카페,강원도,원주시,무실동,37.3331100843841,127.930244824767
34702,스타벅스,,음식,커피점/카페,강원도,평창군,진부면,37.6363752327278,128.559003074354
41689,스타벅스,춘천이마트점,음식,커피점/카페,강원도,춘천시,강남동,37.8639560859478,127.717260445106
44754,스타벅스,,음식,커피점/카페,강원도,원주시,반곡관설동,37.323397048067,127.980826364376
51390,스타벅스,춘천후평DT점,음식,커피점/카페,강원도,춘천시,후평3동,37.8794028368605,127.750531603324
52583,스타벅스,강릉중앙로점,음식,커피점/카페,강원도,강릉시,중앙동,37.7545474684864,128.896189398253
54413,스타벅스,동해DT점,음식,커피점/카페,강원도,동해시,천곡동,37.5201742036767,129.114686884468
55626,스타벅스,,음식,커피점/카페,강원도,인제군,기린면,37.9558684267042,128.31840740442
56997,스타벅스,오션월드2호점,음식,커피점/카페,강원도,홍천군,서면,37.6523237387557,127.687272903554
57404,스타벅스,춘천석사DT점,음식,커피점/카페,강원도,춘천시,석사동,37.8566995076552,127.739266611387
59787,스타벅스,원주명륜DT점,음식,커피점/카페,강원도,원주시,명륜1동,37.3359945650883,127.94983354993
78433,스타벅스,설악쏘라노점,음식,커피점/카페,강원도,속초시,영랑동,38.2105871479139,128.528675853147
81530,스타벅스,강대점,음식,커피점/카페,강원도,춘천시,효자3동,37.8727596024213,127.745086615044
82931,스타벅스,속초중앙로점,음식,커피점/카페,강원도,속초시,금호동,38.2026214250362,128.589463214419
83277,스타벅스,비발디파크점,음식,커피점/카페,강원도,홍천군,서면,37.6481840552354,127.685839715109
84621,스타벅스,강릉강문해변점,음식,커피점/카페,강원도,강릉시,초당동,37.7947771620177,128.918521062936
87421,스타벅스,,음식,커피점/카페,강원도,횡성군,횡성읍,37.4915708446238,127.987919269689
88284,스타벅스,,음식,커피점/카페,강원도,고성군,간성읍,38.3792218504065,128.471025460626
103766,스타벅스,별을내리다,음식,한식,강원도,속초시,조양동,38.1844454081806,128.593722863212
4425,스타벅스,서현역점,음식,커피점/카페,경기도,성남시,서현1동,37.3858542974758,127.124020925831
5983,스타벅스,,음식,커피점/카페,경기도,용인시,중앙동,37.2370225058939,127.205979105561
13002,스타벅스,용인기흥구청점,음식,커피점/카페,경기도,용인시,신갈동,37.2826619109289,127.110727384765
13463,스타벅스,야탑점,음식,커피점/카페,경기도,성남시,야탑1동,37.4121726377379,127.129837212323
18093,스타벅스,,음식,커피점/카페,경기도,화성시,정남면,37.1331773630153,127.025840533407
20458,스타벅스,수원인계점,음식,커피점/카페,경기도,수원시,인계동,37.2655346685802,127.032898389359
20870,스타벅스,백석점,음식,커피점/카페,경기도,고양시,백석2동,37.6439163563375,126.786148315475
25246,스타벅스,수원트레이더스점,음식,커피점/카페,경기도,수원시,영통2동,37.2460629455346,127.048577982515
25796,스타벅스,파주금촌역점,음식,커피점/카페,경기도,파주시,금촌1동,37.7638880211947,126.774225321299
26297,스타벅스,뉴코아야탑점,음식,커피점/카페,경기도,성남시,야탑1동,37.4109297153589,127.12746808049
26735,스타벅스,착한빵,음식,커피점/카페,경기도,광명시,철산2동,37.4810778849794,126.864496132015
36572,스타벅스,수원경희대점,음식,커피점/카페,경기도,수원시,영통3동,37.2479619506647,127.076744923256
36905,스타벅스,동탄점,음식,커피점/카페,경기도,화성시,동탄1동,37.2016084714533,127.073164316156
36976,스타벅스,현대중동점,음식,커피점/카페,경기도,부천시,신중동,37.5043049309835,126.762071535382
37606,스타벅스,안산중앙역점,음식,커피점/카페,경기도,안산시,중앙동,37.3170955951917,126.837702361526
38255,스타벅스,파주프리미엄점,음식,커피점/카페,경기도,파주시,탄현면,37.76892828249,126.696495857132
38391,스타벅스,대화역점,음식,커피점/카페,경기도,고양시,대화동,37.6754062943114,126.748181643883
38409,스타벅스,수내로점,음식,커피점/카페,경기도,성남시,수내1동,37.3803925258856,127.116586795132
39653,스타벅스,안산한양대점,음식,커피점/카페,경기도,안산시,해양동,37.3009356381822,126.838233093351
41471,스타벅스,부천시청역점,음식,커피점/카페,경기도,부천시,신중동,37.5053018204542,126.762620578976
42361,스타벅스,산본동점,음식,커피점/카페,경기도,군포시,광정동,37.3654835167822,126.929426266681
42884,스타벅스,용인보정점,음식,커피점/카페,경기도,용인시,보정동,37.3200273231764,127.110355024154
43081,스타벅스,수원인계DT점,음식,커피점/카페,경기도,수원시,인계동,37.2679270087441,127.027940721346
43564,스타벅스,안산중앙점,음식,커피점/카페,경기도,안산시,중앙동,37.3187256151958,126.837609567194
44259,스타벅스,안산한대앞역점,음식,커피점/카페,경기도,안산시,이동,37.3086405515635,126.851233957869
46073,스타벅스,포천송우점,음식,커피점/카페,경기도,포천시,소흘읍,37.827346390543,127.144579914734
46083,스타벅스,마두역점,음식,커피점/카페,경기도,고양시,장항2동,37.6529188514065,126.776686468284
46103,스타벅스,평택송탄점,음식,커피점/카페,경기도,평택시,서정동,37.0664786242076,127.062970174592
46367,스타벅스,부천신중동역점,음식,커피점/카페,경기도,부천시,신중동,37.5037910259875,126.77413636305
47235,스타벅스,안산트레이더스점,음식,커피점/카페,경기도,안산시,신길동,37.3311723031685,126.784992375155
47646,스타벅스,의정부금오점,음식,커피점/카페,경기도,의정부시,자금동,37.7529105967189,127.070461128642
48227,스타벅스,평내호평역점,음식,커피점/카페,경기도,남양주시,호평동,37.654066088747,127.242879817216
48501,스타벅스,아주대점,음식,커피점/카페,경기도,수원시,우만2동,37.2796407394145,127.043374246075
50245,스타벅스,일산백마점,음식,커피점/카페,경기도,고양시,마두1동,37.6571088791044,126.788064183267
52280,스타벅스,의정부공원점,음식,커피점/카페,경기도,의정부시,의정부1동,37.7400437474708,127.047850561263
54185,스타벅스,하남신장점,음식,커피점/카페,경기도,하남시,덕풍3동,37.5383762366936,127.203971498869
54697,스타벅스,의정부회룡역DT점,음식,커피점/카페,경기도,의정부시,호원1동,37.7223906183123,127.047588816725
56561,스타벅스,용인마북DT점,음식,커피점/카페,경기도,용인시,마북동,37.2946435115567,127.110338230918
57143,스타벅스,김포장기커낼점,음식,커피점/카페,경기도,김포시,장기동,37.6404691768506,126.677533134306
59032,스타벅스,야탑역사거리점,음식,커피점/카페,경기도,성남시,야탑2동,37.409579674211,127.130127013845
61005,스타벅스,고양DT점,음식,커피점/카페,경기도,고양시,고양동,37.7096413613079,126.905418416025
66832,스타벅스,파주운정점,음식,커피점/카페,경기도,파주시,운정3동,37.7120285598793,126.744458195993
68553,스타벅스,시흥은계점,음식,커피점/카페,경기도,시흥시,은행동,37.4375040599472,126.80161510313
73126,스타벅스,하남황산사거리점,음식,커피점/카페,경기도,하남시,풍산동,37.550771245237,127.186263806638
75308,스타벅스,이천하이닉스점,음식,커피점/카페,경기도,이천시,부발읍,37.2525713739598,127.489955928476
76232,스타벅스,고양행신점,음식,커피점/카페,경기도,고양시,행신1동,37.6237595430606,126.834292066287
