일자,확진자수,후암동,용산2가동,남영동,청파동,원효로제1동,원효로제2동,효창동,용문동,한강로동,이촌제1동,이촌제2동,이태원제1동,이태원제2동,한남동,서빙고동,보광동,데이터 관리부서,데이터관리 부서 전화번호
2020-03-05,1,,,,,,,,,,,,,,,,1, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-06,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-07,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-08,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-09,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-10,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-11,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-12,1,,,,,,,,,,,,,,1,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-13,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-14,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-15,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-16,1,,,,1,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-17,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-18,1,1,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-19,1,1,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-20,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-21,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-22,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-23,1,,,,,,,,,,1,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-24,1,,,,,,,,,,,,,,1,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-25,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-26,1,,,,,,,,,,,,,,1,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-27,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-28,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-29,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-30,3,,,1,,,,,,2,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-31,1,,,,,,,,,1,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-01,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-02,2,,,2,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-03,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-04,1,,,,,,,,,,,,,,1,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
