Title,Address,Phone
와이비엠에듀,서울 종로구 종로 104,02-581-0509
파고다어학원 종로점,서울 종로구 청계천로 93,02-2274-4000
YBM어학원 종로e4u,"서울 종로구 삼일대로20길 6 1~5층, 7~9층",02-2279-0509
해커스어학원 종로캠퍼스,서울 종로구 인사동길 12 대일빌딩 4층,02-502-2000
YBM 종로CBT센터,서울 종로구 종로 104 본관지하,
시사일본어학원 종로캠퍼스,서울 종로구 종로12길 6,02-737-1582
와이비엠교육 종로지점,서울 종로구 창경궁로 112-7 인의빌딩 5층,02-2275-0509
YBM어학원 CBT종로센터,서울 종로구 종로 104 본관 지하,
YBM어학원 종로센터(원투원),서울 종로구 종로 104,02-2264-0509
르몽드어학원,"서울 종로구 종로12길 18 우석빌딩 5, 7, 8층",02-723-7713
와이비엠종로이포유어학원,서울 종로구 종로 104,02-2279-0509
그린한국어학원,서울 종로구 청계천로 61 대한방직협회 7층,02-732-1128
시사일본어학원 종로캠퍼스 테스트메이트,서울 종로구 삼일대로17길 16,02-736-1582
이알피어학원 종로아이엘츠학원,서울 종로구 청계천로 99 수표교빌딩 4층,02-737-1516
시사중국어학원 종로캠퍼스,서울 종로구 종로12길 6 5층,02-739-9582
와이비엠에듀,서울 종로구 종로 104,02-581-0509
파고다어학원 종로점,서울 종로구 청계천로 93,02-2274-4000
YBM어학원 종로e4u,"서울 종로구 삼일대로20길 6 1~5층, 7~9층",02-2279-0509
해커스어학원 종로캠퍼스,서울 종로구 인사동길 12 대일빌딩 4층,02-502-2000
YBM 종로CBT센터,서울 종로구 종로 104 본관지하,
시사일본어학원 종로캠퍼스,서울 종로구 종로12길 6,02-737-1582
와이비엠교육 종로지점,서울 종로구 창경궁로 112-7 인의빌딩 5층,02-2275-0509
YBM어학원 CBT종로센터,서울 종로구 종로 104 본관 지하,
YBM어학원 종로센터(원투원),서울 종로구 종로 104,02-2264-0509
르몽드어학원,"서울 종로구 종로12길 18 우석빌딩 5, 7, 8층",02-723-7713
와이비엠종로이포유어학원,서울 종로구 종로 104,02-2279-0509
그린한국어학원,서울 종로구 청계천로 61 대한방직협회 7층,02-732-1128
시사일본어학원 종로캠퍼스 테스트메이트,서울 종로구 삼일대로17길 16,02-736-1582
이알피어학원 종로아이엘츠학원,서울 종로구 청계천로 99 수표교빌딩 4층,02-737-1516
시사중국어학원 종로캠퍼스,서울 종로구 종로12길 6 5층,02-739-9582
수도어학학원,서울 종로구 종로 403,02-922-9861
와세다일본어학원,서울 종로구 우정국로2길 21 대왕빌딩 3층,02-733-1515
코니스,서울 종로구 평창12길 18,02-3217-9030
아베체 독일어학원 종로점,서울 종로구 종로 68 대한기독교서회 4층 2호,02-722-5583
이치고이치에학원,서울 종로구 삼일대로15길 17 금옥학술재안빌딩 8층,02-735-5679
윤선생영어교실 영어숲 종로창신점,서울 종로구 낙산길 196,02-747-0594
EDB어학원,서울 종로구 종로 65 2-3층,02-732-8205
김지원영어학원,서울 종로구 송월길 110,02-725-1903
랭귀지큐브 종로센터,서울 종로구 삼봉로 57 호수빌딩 6층,02-734-1105
한형민어학원,서울 종로구 종로 19 르메이에르종로타운1 510호,02-2075-5858
잉글리쉬튠즈어학원,서울 종로구 창경궁로 251 대명빌딩 2층,02-742-1351
이주미고등영어,서울 종로구 통일로 266,02-739-0509
플랜티어학원,"서울 종로구 수표로 105 육의전빌딩 4층,8~9층",02-735-3322
시사일본어학원 테스트메이트 별관,"서울 종로구 삼일대로17길 16 2,3층",02-736-9582
윤선생영어숲 종로평창보습학원,서울 종로구 평창12길 3,02-391-4892
수도어학학원,서울 종로구 종로 403,02-922-9861
와세다일본어학원,서울 종로구 우정국로2길 21 대왕빌딩 3층,02-733-1515
코니스,서울 종로구 평창12길 18,02-3217-9030
아베체 독일어학원 종로점,서울 종로구 종로 68 대한기독교서회 4층 2호,02-722-5583
이치고이치에학원,서울 종로구 삼일대로15길 17 금옥학술재안빌딩 8층,02-735-5679
윤선생영어교실 영어숲 종로창신점,서울 종로구 낙산길 196,02-747-0594
EDB어학원,서울 종로구 종로 65 2-3층,02-732-8205
김지원영어학원,서울 종로구 송월길 110,02-725-1903
랭귀지큐브 종로센터,서울 종로구 삼봉로 57 호수빌딩 6층,02-734-1105
한형민어학원,서울 종로구 종로 19 르메이에르종로타운1 510호,02-2075-5858
잉글리쉬튠즈어학원,서울 종로구 창경궁로 251 대명빌딩 2층,02-742-1351
이주미고등영어,서울 종로구 통일로 266,02-739-0509
플랜티어학원,"서울 종로구 수표로 105 육의전빌딩 4층,8~9층",02-735-3322
시사일본어학원 테스트메이트 별관,"서울 종로구 삼일대로17길 16 2,3층",02-736-9582
윤선생영어숲 종로평창보습학원,서울 종로구 평창12길 3,02-391-4892
조인엘엠피어학원,서울 종로구 평창문화로 139 서호빌딩 2층,02-566-6115
경희궁키즈엔리딩영어학원,서울 종로구 송월길 136 서원빌딩 1층,02-6465-0579
키위북웜스,서울 종로구 자하문로 79 202호,0507-1408-4363
유케이어학원,서울 종로구 평창문화로 6-3 고석빌딩 1층,02-394-6418
NY잉글리시스튜디오,서울 종로구 창경궁로 270,02-763-9905
프로페영어회화,서울 종로구 종로 1 교보생명빌딩 15층 38호,0507-1315-1609
서울리딩룸,서울 종로구 자하문로 116-1,
에듀윌경영아카데미,서울 종로구 수표로 96,02-6010-0600
신중성어학원 종로캠퍼스,서울 종로구 우정국로2길 21 대왕빌딩 5층,02-733-8279
유니드플러스,서울 종로구 율곡로2길 7 써머셋스위트로얄팰리스 308호,02-722-0707
YBM어학원 종로중국어센터,서울 종로구 종로 104,02-2278-0509
BK영어전문학원,서울 종로구 평창12길 3,02-379-8297
와이비엠종로이포유어학원 종로2관,서울 종로구 삼일대로20길 6,02-2279-0509
포어스트랜즈잉글리쉬러닝센터학원,서울 종로구 진흥로 443,02-395-8008
오자희영어교실,서울 종로구 자하문로 312-18,02-396-1611
FJ어학원,서울 종로구 종로 77 통일빌딩 4층,02-722-8215
EEIC Academy,서울 종로구 창덕궁3나길 24,070-8098-4841
이주미이주헌영어학원,서울 종로구 통일로 246-10 2층,
경희궁키즈잉글리쉬,"서울 종로구 송월길 99 경희궁자이2단지 상가 2층 2206,2214호",010-7400-0555
벌리츠코리아 광화문센터,서울 종로구 종로1길 50 더케이트윈타워 B동 2층,02-775-1441
JC독문화독일어학원,서울 종로구 우정국로2길 42 덕산빌딩 6층,02-730-8389
고경희소리영어훈련소,서울 종로구 수표로 105,010-6266-4847
용기의숲영어교습소,서울 종로구 이화장길 36-2,
셀크영어교습소,서울 종로구 옥인길 22-1,
이주헌중등영어,서울 종로구 통일로 266,02-467-0509
삼성영어 혜화초학습관,서울 종로구 성균관로16길 8 202호,0507-1409-0783
